ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	16190	16037	16398	153	361	3	98
2	16340	16042	16546	298	504	4	98
3	16334	16034	16540	300	506	5	98
4	16187	16036	16397	151	361	4	98
5	16354	16041	16564	313	523	4	98
6	16342	16039	16548	303	509	4	98
7	16181	16034	16389	147	355	3	98
8	16348	16043	16554	305	511	4	98
9	16337	16040	16545	297	505	4	98
10	16189	16037	16399	152	362	3	98
11	16352	16034	16558	318	524	4	98
12	16345	16039	16553	306	514	4	98
13	16190	16037	16398	153	361	3	98
14	16345	16040	16553	305	513	5	98
15	16342	16035	16550	307	515	5	98
16	16183	16037	16391	146	354	3	98
17	16346	16041	16555	305	514	4	98
18	16338	16037	16546	301	509	4	98
19	16185	16033	16393	152	360	3	98
20	16342	16039	16548	303	509	4	98
21	16341	16038	16550	303	512	4	98
22	16190	16038	16398	152	360	3	98
23	16347	16036	16557	311	521	4	98
24	16338	16038	16545	300	507	4	98
25	16184	16038	16390	146	352	3	98
26	16350	16038	16558	312	520	5	98
27	16336	16035	16545	301	510	4	98
28	16190	16038	16398	152	360	3	98
29	16339	16040	16547	299	507	4	98
30	16336	16040	16545	296	505	4	98
31	16188	16038	16395	150	357	3	98
32	16347	16034	16557	313	523	4	98
33	16339	16040	16545	299	505	4	98
34	16185	16038	16395	147	357	3	98
35	16341	16039	16549	302	510	4	98
36	16183	16033	16391	150	358	3	98
37	16191	16039	16397	152	358	4	98
38	16337	16037	16545	300	508	5	98
39	16190	16037	16398	153	361	3	98
40	16337	16041	16542	296	501	4	98
41	16337	16033	16545	304	512	4	98
42	16187	16037	16397	150	360	3	98
43	16339	16039	16547	300	508	4	98
44	16344	16038	16553	306	515	5	98
45	16190	16035	16397	155	362	3	98
46	16343	16039	16552	304	513	4	98
47	16352	16037	16560	315	523	4	98
48	16189	16036	16398	153	362	3	98
49	16353	16040	16560	313	520	4	98
50	16346	16034	16555	312	521	4	98
51	16186	16037	16394	149	357	3	98
52	16340	16038	16547	302	509	4	98
53	16340	16037	16550	303	513	4	98
54	16199	16037	16406	162	369	3	98
55	16338	16036	16546	302	510	4	98
56	16341	16040	16547	301	507	4	98
57	16192	16038	16401	154	363	3	98
58	16344	16040	16551	304	511	4	98
59	16350	16037	16558	313	521	4	98
60	16187	16032	16395	155	363	3	98
61	16347	16041	16555	306	514	4	98
62	16336	16037	16543	299	506	4	98
63	16187	16038	16396	149	358	3	98
64	16343	16040	16552	303	512	4	98
65	16331	16035	16541	296	506	4	98
66	16191	16037	16398	154	361	3	98
67	16355	16040	16563	315	523	4	98
68	16351	16038	16559	313	521	4	98
69	16187	16037	16395	150	358	3	98
70	16334	16035	16540	299	505	4	98
71	16350	16038	16558	312	520	4	98
72	16189	16038	16396	151	358	3	98
73	16337	16038	16545	299	507	4	98
74	16185	16036	16393	149	357	4	98
75	16198	16036	16404	162	368	4	98
76	16338	16035	16544	303	509	4	98
77	16190	16038	16396	152	358	3	98
78	16352	16039	16557	313	518	4	98
79	16338	16040	16546	298	506	4	98
80	16184	16037	16394	147	357	3	98
81	16339	16035	16547	304	512	4	98
82	16343	16037	16551	306	514	4	98
83	16185	16037	16393	148	356	3	98
84	16343	16042	16552	301	510	4	98
85	16354	16038	16564	316	526	4	98
86	16191	16037	16399	154	362	4	98
87	16348	16035	16554	313	519	4	98
88	16336	16039	16543	297	504	4	98
89	16191	16037	16398	154	361	3	98
90	16341	16042	16547	299	505	4	98
91	16342	16038	16552	304	514	4	98
92	16193	16039	16400	154	361	3	98
93	16338	16036	16548	302	512	4	98
94	16337	16039	16545	298	506	4	98
95	16187	16037	16397	150	360	3	98
96	16344	16039	16553	305	514	4	98
97	16343	16040	16551	303	511	4	98
98	16190	16037	16398	153	361	3	98
99	16337	16037	16543	300	506	4	98
100	16341	16037	16548	304	511	4	98
101	16184	16037	16392	147	355	3	98
102	16350	16039	16560	311	521	4	98
103	16342	16039	16549	303	510	4	98
104	16193	16038	16399	155	361	3	98
105	16342	16036	16549	306	513	4	98
106	16345	16038	16555	307	517	5	98
107	16199	16039	16405	160	366	3	98
108	16342	16038	16550	304	512	4	98
109	16335	16037	16545	298	508	4	98
110	16199	16038	16405	161	367	3	98
111	16340	16035	16550	305	515	4	98
112	16336	16039	16544	297	505	4	98
113	16199	16038	16408	161	370	4	98
114	16344	16039	16551	305	512	4	98
115	16188	16036	16396	152	360	3	98
116	16189	16037	16397	152	360	3	98
117	16347	16040	16555	307	515	4	98
118	16184	16031	16392	153	361	3	98
119	16354	16039	16560	315	521	5	98
120	16344	16038	16552	306	514	5	98
121	16190	16037	16396	153	359	3	98
122	16345	16039	16553	306	514	4	98
123	16349	16037	16559	312	522	4	98
124	16190	16038	16398	152	360	3	98
125	16333	16033	16540	300	507	4	98
126	16344	16039	16552	305	513	4	98
127	16191	16039	16399	152	360	3	98
128	16333	16038	16539	295	501	4	98
129	16343	16038	16550	305	512	5	98
130	16199	16037	16405	162	368	3	98
131	16350	16038	16559	312	521	4	98
132	16345	16039	16553	306	514	4	98
133	16184	16034	16393	150	359	3	98
134	16345	16040	16553	305	513	4	98
135	16346	16040	16554	306	514	4	98
136	16189	16036	16396	153	360	3	98
137	16343	16040	16551	303	511	4	98
138	16341	16037	16547	304	510	4	98
139	16198	16039	16404	159	365	3	98
140	16344	16040	16553	304	513	5	98
141	16338	16036	16546	302	510	4	98
142	16190	16040	16398	150	358	3	98
143	16351	16036	16557	315	521	4	98
144	16338	16037	16545	301	508	4	98
145	16189	16035	16399	154	364	5	98
146	16335	16036	16543	299	507	4	98
147	16342	16038	16550	304	512	4	98
148	16187	16038	16420	149	382	5	99
149	16342	16039	16547	303	508	4	98
150	16344	16039	16553	305	514	4	98
151	16188	16033	16397	155	364	3	98
152	16359	16040	16565	319	525	4	98
153	16196	16039	16412	157	373	3	98
154	16186	16035	16392	151	357	3	98
155	16341	16040	16551	301	511	4	98
156	16191	16036	16397	155	361	3	98
157	16184	16036	16394	148	358	4	98
158	16343	16039	16549	304	510	4	98
159	16193	16039	16399	154	360	3	98
160	16340	16038	16549	302	511	4	98
161	16350	16037	16558	313	521	4	98
162	16190	16039	16396	151	357	3	98
