ITER_PAIR	CORR_VAL
1	-1
2	0
3	0
4	-1
5	-1
6	1
7	-1
8	-1
9	0
10	-1
11	0
12	1
13	-1
14	-1
15	0
16	-1
17	1
18	0
19	-1
20	1
21	1
22	-1
23	1
24	1
25	-1
26	0
27	1
28	-1
29	0
30	0
31	-1
32	-1
33	1
34	-1
35	1
36	-1
37	-1
38	0
39	-1
40	-1
41	0
42	-1
43	-1
44	-1
45	-1
46	0
47	-1
48	1
49	1
50	-1
51	0
52	1
53	-1
54	0
55	-1
56	-1
57	-1
58	1
59	-1
60	0
61	0
62	-1
63	-1
64	-1
65	0
66	-1
67	0
68	1
69	-1
70	1
71	-1
72	-1
73	1
74	1
75	0
76	-1
77	1
78	-1
79	-1
80	0
81	-1
82	-1
83	-1
84	0
85	0
86	-1
87	1
88	1
89	-1
90	1
91	1
92	-1
93	1
94	-1
95	-1
96	-1
97	-1
98	0
99	-1
100	-1
101	-1
102	1
103	-1
104	1
105	1
106	-1
107	0
108	1
109	-1
110	0
111	0
112	-1
113	0
114	-1
115	0
116	-1
117	-1
118	1
119	-1
120	1
121	0
122	-1
123	0
124	-1
125	0
126	-1
127	-1
128	0
129	-1
130	1
131	-1
132	-1
133	-1
134	0
135	0
136	-1
137	1
138	0
139	-1
140	1
141	-1
142	-1
143	-1
144	0
145	-1
146	-1
147	0
148	-1
149	1
150	-1
151	0
152	1
153	-1
154	1
155	-1
156	0
157	-1
158	0
159	-1
160	-1
161	0
162	-1
163	1
164	-1
165	1
166	-1
167	-1
168	-1
169	0
170	0
171	-1
172	0
173	-1
174	0
175	-1
176	0
177	0
178	-1
179	1
180	0
181	0
182	-1
183	0
184	0
185	0
186	-1
187	0
188	0
189	-1
190	0
191	0
192	0
193	-1
194	0
195	-1
196	1
197	-1
198	-1
199	-1
200	-1
201	-1
202	0
203	1
204	-1
205	0
206	-1
207	0
208	-1
209	-1
210	1
211	1
212	-1
213	1
214	1
215	-1
216	-1
217	0
218	-1
219	0
220	-1
221	1
222	0
223	-1
224	-1
225	1
226	-1
227	-1
228	-1
229	-1
230	0
231	-1
232	1
233	1
234	-1
235	1
236	1
237	-1
238	1
239	1
240	-1
241	-1
242	0
243	-1
244	-1
245	-1
246	0
247	-1
248	-1
249	0
250	-1
251	-1
252	1
253	1
254	-1
255	-1
256	1
257	-1
258	0
259	0
260	-1
261	-1
262	-1
263	1
264	-1
265	-1
266	-1
267	-1
268	-1
269	0
270	1
271	-1
272	0
273	1
274	-1
275	0
276	-1
277	0
278	-1
279	-1
280	1
281	-1
282	1
283	-1
284	1
285	-1
286	0
287	-1
288	-1
289	1
290	-1
291	0
292	-1
293	-1
294	0
295	-1
296	0
297	-1
298	1
299	-1
300	0
301	-1
302	-1
303	0
304	-1
305	0
306	-1
307	-1
308	0
309	-1
310	0
311	1
312	1
313	-1
314	0
315	0
316	-1
317	-1
318	-1
319	0
320	-1
321	-1
322	0
323	-1
324	-1
325	0
326	1
327	-1
328	0
329	-1
330	-1
331	-1
332	-1
333	0
334	-1
335	-1
336	1
337	1
338	-1
339	1
340	0
341	-1
342	-1
343	-1
344	-1
345	-1
346	0
347	1
348	1
349	-1
350	1
351	0
352	-1
353	-1
354	0
355	-1
356	-1
357	-1
358	1
359	0
360	-1
361	-1
362	0
363	-1
364	-1
365	0
366	-1
367	0
368	-1
369	-1
370	0
371	0
372	-1
373	0
374	-1
375	-1
376	-1
377	-1
378	0
379	-1
380	0
381	0
382	1
383	-1
384	0
385	-1
386	0
387	-1
388	-1
389	0
390	0
391	-1
392	1
393	1
394	1
395	-1
396	0
397	-1
398	-1
399	0
400	1
401	0
402	-1
403	1
404	0
405	-1
406	-1
407	0
408	-1
409	0
410	-1
411	0
412	-1
413	0
414	-1
415	0
416	-1
417	0
418	-1
419	-1
420	-1
421	1
422	0
423	-1
424	1
425	0
426	1
427	0
428	-1
429	1
430	-1
431	1
432	-1
433	-1
434	1
435	1
436	0
437	-1
438	0
439	-1
440	-1
441	-1
442	-1
443	1
444	0
445	0
446	-1
447	-1
448	1
449	1
450	-1
451	-1
452	0
453	-1
454	0
455	-1
456	0
457	0
458	-1
459	-1
460	-1
461	-1
462	0
463	1
464	-1
465	0
466	0
467	-1
468	0
469	-1
470	1
471	-1
472	0
473	-1
474	1
475	0
476	0
477	-1
478	0
479	-1
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	-1
488	0
489	-1
490	1
491	1
492	1
493	0
494	-1
495	0
496	0
497	-1
498	-1
499	1
500	0
501	-1
502	-1
503	0
504	0
505	0
506	-1
507	0
508	-1
509	-1
510	0
511	-1
512	1
513	-1
514	0
515	-1
516	-1
517	1
518	-1
519	0
520	-1
521	0
522	0
523	-1
524	0
525	-1
526	1
527	-1
528	1
529	-1
530	-1
531	0
532	0
533	1
534	-1
535	0
536	-1
537	0
538	0
539	-1
540	0
541	0
542	-1
543	-1
544	0
545	0
546	0
547	1
548	1
549	-1
550	0
551	1
552	0
553	0
554	0
555	0
556	-1
557	0
558	-1
559	-1
560	0
561	-1
562	-1
563	0
564	0
565	0
566	0
567	0
568	-1
569	-1
570	0
571	1
572	1
573	1
574	-1
575	-1
576	-1
577	0
578	0
579	0
580	0
581	-1
582	1
583	0
584	-1
585	0
586	0
587	-1
588	0
589	0
590	-1
591	0
592	0
593	-1
594	0
595	-1
596	0
597	-1
598	1
599	-1
600	1
601	1
602	-1
603	1
604	0
605	0
606	0
607	-1
608	-1
609	0
610	0
611	0
612	-1
613	1
614	0
615	0
616	0
617	-1
618	-1
619	0
620	0
621	1
622	-1
623	1
624	0
625	0
626	-1
627	-1
628	0
629	0
630	1
631	1
632	1
633	0
634	0
635	-1
636	0
637	0
638	1
639	-1
640	-1
641	0
642	1
643	-1
644	0
645	0
646	0
647	0
648	-1
649	-1
650	0
651	-1
652	-1
653	1
654	-1
655	1
656	1
657	0
658	0
659	-1
660	-1
661	0
662	0
663	1
664	1
665	-1
666	0
667	-1
668	-1
669	-1
670	-1
671	-1
672	-1
673	0
674	1
675	-1
676	1
677	1
678	0
679	0
680	0
681	0
682	-1
683	-1
684	0
685	0
686	-1
687	1
688	0
689	-1
690	-1
691	0
692	0
693	-1
694	0
695	1
696	-1
697	-1
698	0
699	0
700	0
701	1
702	1
703	0
704	-1
705	0
706	0
707	-1
708	0
709	0
710	0
711	-1
712	0
713	0
714	0
715	1
716	0
717	-1
718	-1
719	0
720	0
721	-1
722	0
723	0
724	-1
725	0
726	1
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	1
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
