ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	8207929	8207916	8208132	12	216	8	97
2	8208578	8207916	8208778	661	862	9	99
3	8208777	8207925	8208978	851	1053	10	99
4	8207926	8207912	8208130	13	218	6	97
5	8208585	8207918	8208787	666	869	11	99
6	8207940	8207923	8208143	16	220	9	99
7	8208929	8207930	8209126	998	1196	21	118
8	8207919	8207907	8208122	11	215	7	97
9	8208597	8207940	8208800	656	860	10	99
10	8208761	8207919	8208960	841	1041	8	99
11	8207903	8207888	8208106	14	218	6	97
12	8208592	8207932	8208791	659	859	9	99
13	8207935	8207918	8208142	16	224	6	97
14	8208810	8207967	8209011	842	1044	10	99
15	8208498	8207954	8208695	543	741	7	98
16	8208057	8207921	8208260	135	339	9	100
17	8208890	8207884	8209090	1005	1206	18	118
18	8208455	8207910	8208654	544	744	8	98
19	8208053	8207918	8208255	134	337	8	98
20	8208678	8207942	8208877	735	935	8	98
21	8208010	8207870	8208214	139	344	9	99
22	8208428	8207889	8208631	538	742	9	98
23	8208060	8207924	8208263	135	339	8	98
24	8208770	8207928	8208972	841	1044	9	99
25	8208467	8207920	8208671	546	751	7	98
26	8208021	8207891	8208227	129	336	8	98
27	8208671	8207938	8208873	732	935	10	100
28	8208219	8207941	8208419	277	478	17	117
29	8208460	8207918	8208662	541	744	9	98
30	8208013	8207877	8208215	135	338	8	98
31	8208744	8207907	8208946	836	1039	9	99
32	8208473	8207927	8208678	545	751	8	98
33	8208050	8207918	8208250	131	332	7	98
34	8208663	8207927	8208863	735	936	10	98
35	8208062	8207932	8208263	129	331	7	98
36	8208478	8207892	8208676	585	784	9	98
37	8208031	8207894	8208233	136	339	10	100
38	8208848	8207955	8209047	892	1092	19	117
39	8208590	8207926	8208792	663	866	9	99
40	8208051	8207920	8208252	130	332	6	98
