ITERNUM	METIME
1	16039
2	16034
3	16036
4	16037
5	16036
6	16035
7	16036
8	16037
9	16036
10	16035
11	16036
12	16037
13	16036
14	16034
15	16037
16	16037
17	16037
18	16035
19	16037
20	16037
21	16037
22	16035
23	16037
24	16037
25	16037
26	16035
27	16035
28	16037
29	16037
30	16036
31	16034
32	16036
33	16037
34	16035
35	16034
36	16037
37	16036
38	16036
39	16034
40	16036
41	16037
42	16035
43	16035
44	16037
45	16037
46	16035
47	16035
48	16037
49	16037
50	16035
51	16035
52	16037
53	16036
54	16035
55	16035
56	16037
57	16037
58	16035
59	16034
60	16037
61	16037
62	16035
63	16035
64	16037
65	16037
66	16035
67	16035
68	16040
69	16037
70	16035
71	16035
72	16037
73	16037
74	16037
75	16032
76	16037
77	16037
78	16033
79	16031
80	16034
81	16042
82	16035
83	16032
84	16042
85	16035
86	16042
87	16033
88	16042
89	16035
90	16035
91	16034
92	16036
93	16036
94	16034
95	16040
96	16033
97	16042
98	16035
99	16035
100	16033
101	16042
102	16042
103	16040
104	16040
105	16042
106	16039
107	16031
108	16031
109	16034
110	16042
111	16033
112	16038
113	16035
114	16042
115	16034
116	16034
117	16041
118	16036
119	16035
120	16034
121	16036
122	16037
123	16037
124	16035
125	16036
126	16037
127	16037
128	16035
129	16037
130	16037
131	16037
132	16035
133	16037
134	16037
135	16037
136	16035
137	16037
138	16037
139	16036
140	16035
141	16037
142	16037
143	16037
144	16035
145	16037
146	16037
147	16033
148	16035
149	16035
150	16033
151	16038
152	16035
153	16034
154	16034
155	16038
156	16036
157	16033
158	16035
159	16038
160	16036
161	16032
162	16038
163	16038
164	16032
165	16036
166	16036
167	16038
168	16036
169	16032
170	16037
171	16037
172	16036
173	16035
174	16035
175	16037
176	16031
177	16036
178	16034
179	16039
180	16035
181	16036
182	16038
183	16038
184	16038
185	16036
186	16038
187	16037
188	16038
189	16036
190	16038
191	16038
192	16037
193	16036
194	16037
195	16038
196	16038
197	16035
198	16038
199	16037
200	16038
201	16036
202	16033
203	16037
204	16037
205	16035
206	16036
207	16034
208	16038
209	16034
210	16036
211	16037
212	16037
213	16036
214	16031
215	16037
216	16038
217	16036
218	16035
219	16037
220	16037
221	16031
222	16036
223	16037
224	16038
225	16036
226	16035
227	16037
228	16034
229	16036
230	16034
231	16037
232	16038
233	16036
234	16036
235	16035
236	16038
237	16031
238	16035
239	16037
240	16037
241	16036
242	16036
243	16038
244	16035
245	16036
246	16031
247	16037
248	16033
249	16036
250	16032
251	16037
252	16034
253	16035
254	16032
255	16038
256	16034
257	16037
258	16032
259	16038
260	16035
261	16038
262	16035
263	16038
264	16037
265	16038
266	16035
267	16038
268	16038
269	16037
270	16036
271	16038
272	16038
273	16037
274	16036
275	16037
276	16038
277	16038
278	16033
279	16038
280	16034
281	16037
282	16036
283	16037
284	16038
285	16035
286	16035
287	16031
288	16037
289	16035
290	16036
291	16036
292	16037
293	16038
294	16035
295	16035
296	16034
297	16037
298	16032
299	16036
300	16037
301	16035
302	16036
303	16035
304	16036
305	16038
306	16034
307	16036
308	16038
309	16034
310	16036
311	16036
312	16034
313	16038
314	16035
315	16036
316	16038
317	16034
318	16036
319	16035
320	16037
321	16038
322	16032
323	16036
324	16037
325	16038
326	16036
327	16033
328	16038
329	16034
330	16036
331	16034
332	16038
333	16037
334	16036
335	16036
336	16035
337	16038
338	16032
339	16036
340	16033
341	16038
342	16036
343	16035
344	16038
345	16035
346	16035
347	16032
348	16038
349	16038
350	16036
351	16035
352	16034
353	16038
354	16032
355	16036
356	16037
357	16038
358	16038
359	16032
360	16038
361	16038
362	16038
363	16036
364	16034
365	16038
366	16038
367	16035
368	16038
369	16034
370	16038
371	16036
372	16038
373	16038
374	16034
375	16036
376	16036
377	16038
378	16038
379	16033
380	16038
381	16034
382	16038
383	16036
384	16037
385	16038
