"ITERNUM"	"METIME1"	"METIME2"
1	8019	8020
2	8020	8013
3	8020	8019
4	8014	8019
5	8021	8012
6	8019	8020
7	8013	8019
8	8021	8010
9	8020	8019
10	8014	8019
11	8021	8009
12	8021	8020
13	8014	8019
14	8022	8010
15	8021	8019
16	8014	8019
17	8019	8012
18	8021	8019
19	8013	8019
20	8019	8012
21	8022	8019
22	8014	8017
23	8019	8011
24	8021	8019
25	8014	8017
26	8021	8012
27	8021	8019
28	8014	8018
29	8021	8012
30	8021	8019
31	8012	8019
32	8022	8012
33	8021	8020
34	8012	8019
35	8021	8011
36	8022	8017
37	8012	8019
38	8021	8012
39	8021	8017
40	8014	8019
41	8021	8012
42	8021	8017
43	8014	8019
44	8020	8013
45	8019	8018
46	8017	8019
47	8017	8016
48	8019	8013
49	8021	8019
50	8014	8018
51	8021	8012
52	8021	8019
53	8014	8017
54	8021	8012
55	8021	8019
56	8012	8020
57	8022	8012
58	8021	8020
59	8012	8019
60	8021	8012
61	8021	8019
62	8012	8019
63	8018	8015
64	8022	8012
65	8021	8019
66	8014	8019
67	8021	8010
68	8021	8020
69	8014	8019
70	8019	8012
71	8021	8019
72	8014	8020
73	8019	8012
74	8021	8019
75	8016	8017
76	8014	8017
77	8021	8012
78	8022	8017
79	8014	8020
80	8021	8012
81	8021	8017
82	8014	8020
83	8021	8012
84	8019	8019
85	8015	8019
86	8015	8018
87	8020	8012
88	8021	8019
89	8014	8018
90	8019	8012
91	8022	8019
92	8014	8017
93	8021	8012
94	8022	8015
95	8020	8017
96	8014	8020
97	8021	8012
98	8020	8019
99	8014	8019
100	8021	8012
101	8019	8018
102	8017	8020
103	8015	8017
104	8019	8012
105	8023	8021
106	8014	8018
107	8021	8012
108	8021	8019
109	8014	8017
110	8021	8012
111	8021	8019
112	8012	8019
113	8019	8014
114	8021	8014
115	8019	8019
116	8014	8019
117	8021	8010
118	8019	8020
119	8014	8019
120	8021	8010
121	8022	8019
122	8014	8019
123	8021	8011
124	8021	8015
125	8020	8019
126	8012	8019
127	8022	8012
128	8021	8019
129	8012	8019
130	8021	8012
131	8022	8017
132	8012	8019
133	8018	8016
134	8021	8010
135	8021	8019
136	8014	8019
137	8021	8010
138	8022	8019
139	8014	8019
140	8019	8012
141	8021	8015
142	8020	8019
143	8013	8020
144	8021	8012
145	8021	8018
146	8012	8019
147	8021	8012
148	8021	8015
149	8019	8020
150	8014	8019
