#ITERNUM	METIME1	METIME2
1	1002	1002
2	1002	1002
3	1002	1002
4	1004	1002
5	1002	1002
6	1002	1002
7	1002	1002
8	1002	1004
9	1002	1002
10	1002	1002
11	1002	1002
12	1002	1002
13	1001	998
14	998	998
15	1000	1002
16	1002	1002
17	1002	1004
18	1002	1002
19	1002	1002
20	1002	1002
21	1002	1002
22	1004	1002
23	1002	1002
24	1002	1001
25	1002	1002
26	1002	1004
27	1002	1002
28	1002	1002
29	1002	1001
30	1002	1002
31	1004	1002
32	1002	1002
33	1002	1002
34	1002	1002
35	1002	1004
36	1002	1002
37	1002	1002
38	1002	1002
39	1002	1002
40	1002	999
41	999	998
42	998	998
43	1002	1002
44	1004	1001
45	1002	1002
46	1002	1002
47	1002	1002
48	1002	1004
49	1002	1002
50	1002	1002
51	1002	1002
52	1002	1002
53	1004	1002
54	1002	1001
55	1002	1002
56	1002	1002
57	1002	1003
58	1002	1002
59	1002	1001
60	1002	1002
61	1002	1002
62	1002	1001
63	1002	1002
64	1002	1002
65	1002	1002
66	1004	1002
67	1002	1002
68	999	998
69	998	998
70	1000	1004
71	1002	1002
72	1002	1001
73	1002	1002
74	1002	1002
75	1004	1002
76	1002	1002
77	1002	1001
78	1002	1002
79	1002	1004
80	1002	1002
81	1002	1002
82	1002	1001
83	1002	1002
84	1004	1002
85	1002	1002
86	1002	1002
87	1002	1001
88	1002	1004
89	1002	1002
90	1002	1002
91	1002	1002
92	1002	1001
93	1004	1002
94	1002	1002
95	1002	1002
96	999	998
97	998	999
98	1001	1002
99	1002	1002
100	1002	1002
101	1002	1002
102	1002	1002
103	1002	1002
104	1002	1002
105	1002	1002
106	1004	1002
107	1002	1001
108	1002	1002
109	1002	1002
110	1002	1004
111	1002	1002
112	1002	1002
113	1002	1002
114	1002	1002
115	1004	1002
116	1002	1002
117	1002	1002
118	1002	1002
119	1002	1003
120	1002	1002
121	1002	1002
122	1002	1002
123	1002	1000
124	1000	998
125	999	999
126	1002	1002
127	1002	1002
128	1002	1004
129	1002	1002
130	1002	1002
131	1002	1002
132	1002	1002
133	1002	1002
134	1002	1002
135	1002	1002
136	1002	1002
137	1004	1001
138	1002	1002
139	1002	1002
140	1002	1002
141	1008	1004
142	1002	1001
143	1002	1002
144	1002	1002
145	1002	1002
146	1004	1002
147	1002	1001
148	1002	1002
149	1002	1002
150	1002	1004
151	1002	998
152	998	998
153	998	1000
154	1002	1002
155	1004	1002
156	1002	1002
157	1002	1001
158	1002	1002
159	1004	1002
160	1002	1002
161	1002	1002
162	1002	1001
163	1002	1004
164	1002	1002
165	1002	1002
166	1002	1002
167	1002	1001
168	1004	1002
169	1002	1002
170	1002	1002
171	1002	1002
172	1002	1004
173	1002	1002
174	1002	1001
175	1002	1002
176	1002	1002
177	1004	1001
178	1002	1002
179	1001	999
180	998	998
181	998	1004
182	1002	1002
183	1002	1002
184	1002	1001
185	1002	1004
186	1002	1002
187	1002	1001
188	1002	1002
189	1002	1002
190	1002	1002
191	1002	1002
192	1002	1002
193	1002	1002
194	1002	1002
195	1002	1002
196	1002	1002
197	1002	1004
198	1002	1002
199	1002	1002
200	1002	1002
201	1004	1002
202	1002	1002
203	1002	1001
204	1002	998
205	1000	998
206	1000	1001
207	1002	1002
208	1002	1004
209	1002	1002
210	1002	1002
211	1002	1002
212	1002	1001
213	1004	1002
214	1002	1002
215	1002	1002
216	1002	1002
217	1004	1002
218	1002	1002
219	1002	1002
220	1002	1002
221	1002	1001
222	1002	1002
223	1003	1002
224	1002	1001
225	1002	1002
226	1002	1002
227	1003	1002
228	1002	1002
229	1004	1000
230	998	998
231	999	1002
232	1002	1004
233	1002	1002
234	1002	1002
235	1002	1002
236	1004	1002
237	1002	1002
238	1002	1002
239	1002	1002
240	1004	1002
241	1002	1002
242	1002	1002
243	1002	1002
244	1004	1002
245	1002	1002
246	1002	1002
247	1002	1002
248	1004	1002
249	1002	1001
250	1002	1002
251	1002	1002
252	1002	1002
253	1002	1000
254	999	998
255	998	999
256	1002	1002
257	1002	1002
258	1002	1001
259	1002	1004
260	1002	1002
261	1002	1002
262	1002	1001
263	1002	1004
264	1002	1002
265	1002	1001
266	1002	1002
267	1002	1002
268	1002	1002
269	1002	1001
270	1002	1002
271	1002	1002
272	1002	1002
273	1002	1002
274	1002	1002
275	1002	1002
276	1004	1002
277	1001	998
278	998	998
279	1002	1004
280	1002	1002
281	1002	1001
282	1002	1002
283	1002	1002
284	1002	1001
285	1002	1002
286	1002	1002
287	1002	1002
288	1002	1001
289	1002	1002
290	1002	1002
291	1002	1002
292	1002	1002
293	1002	1002
294	1002	1002
295	1002	1001
296	1004	1002
297	1002	1002
298	1002	1002
299	1002	1000
300	1000	998
301	998	1000
302	1002	1001
303	1002	1002
304	1004	1002
305	1002	1002
306	1002	1002
307	1002	1002
308	1002	1004
309	1002	1001
310	1002	1002
311	1002	1002
312	1002	1004
313	1002	1002
314	1002	1002
315	1002	1002
316	1002	1002
317	1004	1002
318	1002	1002
319	1002	1002
320	1002	1002
321	1004	1002
322	1002	1001
323	1002	999
324	998	998
325	999	1003
326	1002	1002
327	1002	1002
328	1002	1001
329	1002	1002
330	1004	1002
331	1002	1001
332	1002	1002
333	1002	1002
334	1004	1002
335	1002	1001
336	1002	1002
337	1002	1002
338	1004	1001
339	1002	1002
340	1002	1002
341	1002	1002
342	1002	1004
343	1002	1002
344	1002	1001
345	1002	1002
346	1002	1002
347	1002	1000
348	998	998
349	998	1000
350	1002	1002
351	1004	1002
352	1002	1002
353	1002	1002
354	1002	1002
355	1002	1004
356	1002	1002
357	1002	1002
358	1002	1002
359	1002	1002
360	1004	1002
361	1002	1002
362	1002	1002
363	1002	1002
364	1002	1004
365	1002	1002
366	1002	1002
367	1002	1002
368	1002	1001
369	1002	1002
370	1002	1002
371	1002	1002
372	1002	1001
373	1001	998
374	998	999
375	1002	1002
376	1002	1002
377	1002	1003
378	1002	1002
379	1002	1002
380	1002	1001
381	1002	1002
382	1004	1002
383	1002	1001
384	1002	1002
385	1002	1002
386	1002	1003
387	1002	1002
388	1002	1002
389	1002	1001
390	1002	1002
391	1004	1002
392	1002	1002
393	1002	1002
394	1002	1002
395	1002	1003
396	1002	1002
397	1002	1002
398	998	998
399	998	999
400	1004	1002
401	1002	1002
402	1002	1002
403	1002	1002
404	1002	1004
405	1002	1002
406	1002	1001
407	1002	1002
408	1002	1002
409	1002	1001
410	1002	1002
411	1002	1002
412	1002	1001
413	1004	1002
414	1002	1002
415	1002	1001
416	1003	1002
417	1002	1004
418	1002	1001
419	1002	1002
420	1002	1002
421	1002	1001
422	1004	1002
423	1001	998
424	998	998
425	1000	1002
426	1002	1004
427	1002	1001
428	1002	1002
429	1002	1002
430	1002	1001
431	1004	1002
432	1002	1002
433	1002	1002
434	1002	1002
435	1004	1002
436	1002	1002
437	1002	1002
438	1002	1002
439	1002	1004
440	1002	1002
441	1002	1002
442	1002	1002
443	1002	1002
444	1004	1001
445	1002	1002
446	1002	1002
447	1002	1001
448	1002	1001
449	999	998
450	998	1001
451	1002	1002
452	1002	1002
453	1004	1001
454	1002	1002
455	1002	1002
456	1002	1001
457	1002	1004
458	1002	1002
459	1002	1001
460	1002	1002
461	1002	1002
462	1002	1001
463	1002	1002
464	1002	1002
465	1002	1002
466	1004	1002
467	1002	1002
468	1002	1002
469	1002	1002
470	1002	1004
471	1002	1002
472	1002	1002
473	1002	1001
474	999	998
475	1000	998
476	1002	1001
477	1002	1002
478	1002	1002
479	1002	1003
480	1002	1002
481	1002	1002
482	1002	1001
483	1002	1002
484	1002	1002
485	1002	1001
486	1002	1002
487	1002	1002
488	1004	1001
489	1002	1002
490	1002	1002
491	1002	1002
492	1002	1004
493	1002	1002
494	1002	1002
495	1002	1002
496	1002	1002
497	1004	1002
498	1002	1002
499	1002	999
500	998	998
501	999	1004
502	1002	1002
503	1002	1002
504	1002	1002
505	1002	1004
506	1002	1002
507	1002	1002
508	1002	1001
509	1002	1002
510	1004	1002
511	1002	1001
512	1002	1002
513	1002	1002
514	1002	1003
515	1002	1002
516	1002	1002
517	1002	1001
518	1002	1002
519	1004	1002
520	1002	1002
521	1002	1002
522	1002	1002
523	1002	1004
524	1002	1001
525	998	998
526	999	999
527	1002	1002
528	1004	1001
529	1002	1002
530	1002	1002
531	1002	1001
532	1002	1004
533	1002	1002
534	1002	1002
535	1002	1002
536	1002	1002
537	1002	1002
538	1002	1002
539	1002	1001
540	1002	1002
541	1004	1002
542	1002	1001
543	1002	1002
544	1002	1002
545	1002	1003
546	1002	1002
547	1002	1002
548	1002	1001
549	1002	1002
550	1004	1000
551	998	998
552	998	1000
553	1002	1002
554	1002	1004
555	1002	1002
556	1002	1001
557	1002	1002
558	1002	1002
559	1004	1001
560	1002	1002
561	1002	1002
562	1002	1001
563	1002	1004
564	1002	1002
565	1002	1001
566	1002	1002
567	1002	1004
568	1002	1001
569	1002	1002
570	1002	1002
571	1002	1001
572	1004	1002
573	1002	1002
574	1002	1002
575	1002	1002
576	1000	1001
577	998	998
578	1000	1002
579	1002	1002
580	1002	1002
581	1002	1002
582	1002	1001
583	1002	1002
584	1002	1002
585	1004	1001
586	1002	1002
587	1002	1002
588	1002	1002
589	1002	1004
590	1002	1002
591	1002	1002
592	1002	1002
593	1002	1002
594	1004	1002
595	1002	1002
596	1002	1001
597	1002	1002
598	1002	1004
599	1002	1001
600	1002	1002
601	1002	1002
602	998	998
603	1000	999
604	1002	1002
605	1002	1002
606	1002	1002
607	1004	1002
608	1002	1002
609	1002	1002
610	1002	1002
611	1002	1004
612	1002	1002
613	1002	1001
614	1003	1002
615	1002	1002
616	1004	1001
617	1003	1002
618	1002	1002
619	1002	1002
620	1002	1004
621	1002	1002
622	1002	1002
623	1002	1002
624	1002	1001
625	1004	1002
626	1002	1002
627	1002	1001
628	999	998
629	998	1000
630	1002	1001
631	1002	1002
632	1002	1002
633	1002	1002
634	1002	1002
635	1002	1002
636	1002	1002
637	1002	1002
638	1004	1001
639	1002	1002
640	1002	1002
641	1002	1001
642	1002	1004
643	1002	1002
644	1002	1001
645	1002	1002
646	1002	1002
647	1004	1002
648	1002	1002
649	1002	1002
650	1002	1002
651	1002	1004
652	1002	1001
653	1002	1000
654	999	998
655	998	999
656	1002	1002
657	1002	1002
658	1002	1002
659	1002	1002
660	1004	1002
661	1002	1002
662	1002	1002
663	1002	1001
664	1002	1004
665	1002	1002
666	1002	1001
667	1002	1002
668	1002	1002
669	1004	1002
670	1002	1002
671	1002	1002
672	1002	1002
673	1002	1004
674	1002	1001
675	1002	1002
676	1002	1002
677	1002	1001
678	1004	1002
679	1002	1000
680	998	998
681	999	1000
682	1004	1002
683	1002	1002
684	1002	1002
685	1002	1002
686	1002	1002
687	1002	1002
688	1002	1001
689	1002	1002
690	1002	1002
691	1004	1002
692	1002	1002
693	1002	1002
694	1002	1002
695	1002	1004
696	1002	1002
697	1002	1002
698	1002	1002
699	1002	1001
700	1004	1002
701	1002	1002
702	1002	1002
703	1002	1002
704	1002	1004
705	1002	1002
706	999	998
707	998	998
708	1002	1002
709	1004	1002
710	1002	1002
711	1002	1002
712	1002	1002
713	1002	1004
714	1002	1002
715	1002	1002
716	1002	1002
717	1002	1002
