"ITERNUM"	"METIME1"	"METIME2"
1	130160	130278
2	130279	130275
3	130279	130278
4	130285	130284
5	130289	130281
6	130265	130281
7	130271	130269
8	130287	130283
9	130277	130266
10	130272	130259
11	130262	130300
12	130278	130278
13	130131	130290
14	130282	130288
15	130292	130283
16	130304	130300
17	130276	130287
18	130284	130352
19	130287	130249
20	130298	130293
21	130285	130292
22	130287	130278
23	130290	130524
24	130279	130278
25	130283	130282
26	130120	130291
27	130291	130290
28	130278	130277
29	130281	130286
30	130273	130292
31	130288	130295
32	130314	130292
33	130278	130293
34	130298	130276
35	130292	130266
36	130291	130286
37	130272	130293
38	130279	130290
39	130146	130281
40	130288	130276
41	130279	130276
42	130267	130284
43	130280	130282
44	130264	130285
45	130272	130278
46	130827	130282
47	130277	130274
48	130268	130266
49	130263	130264
50	130268	130266
51	130263	130265
52	130295	130118
53	130273	130270
54	130267	130251
55	130264	130264
56	130272	130258
57	130284	130252
58	130283	130273
59	130267	130266
60	130264	130270
61	130275	130281
62	130290	130259
63	130259	130281
64	130290	130124
65	130122	130287
66	130284	130268
67	130261	130284
68	130287	130262
69	130265	130259
70	130263	130272
71	130297	130266
72	130269	130278
73	130275	130281
74	130270	130266
75	130267	130256
76	130275	130267
77	130295	130112
78	130114	130411
79	130260	130265
80	130261	130285
81	130274	130261
82	130287	130267
83	130260	130274
84	130272	130281
85	130280	130275
86	130268	130270
87	130272	130266
88	130286	130260
89	130270	130284
90	130283	130125
91	130127	130280
92	130273	130272
93	130284	130279
94	130285	130282
95	130291	130278
96	130270	130286
97	130292	130273
98	130271	130260
99	130274	130279
100	130293	130272
101	130289	133028
102	130266	130269
103	130272	130281
104	130266	130287
105	130277	130266
106	130291	130112
107	130115	130274
108	130272	130276
109	130276	130277
110	130287	130276
111	130281	130265
112	130285	130270
113	130271	130272
114	130275	130285
115	130286	130269
116	130273	130281
117	130274	130274
118	130273	130271
119	130110	130279
120	130274	130269
121	130271	130287
122	130274	130278
123	130284	130305
124	130269	130302
125	130272	130286
126	130262	130280
127	130292	130299
128	130297	130287
129	130296	130285
130	130285	130293
131	130290	130282
132	130140	130299
133	130291	130290
134	130407	130288
135	130286	130282
136	130290	130289
137	130286	130284
138	130290	130267
139	130272	130281
140	130277	130272
141	130287	130297
142	130278	130273
143	130302	130296
144	130270	130297
145	130264	130845
146	130147	130290
147	130277	130282
148	130296	130281
149	130275	130294
150	130288	130281
151	130292	130274
152	130285	130287
153	130271	130276
154	130285	130270
155	130278	130272
156	130264	130261
157	130271	130273
158	130274	130260
159	130280	130130
160	130117	130280
161	130272	130276
162	130266	130261
163	130264	130278
164	130259	130268
165	130283	130260
166	130285	130265
167	130246	130277
168	130272	130244
169	130278	130265
170	130265	130261
171	130269	130110
172	130115	130270
173	130274	130248
174	130271	130274
175	130267	130266
176	130269	130260
177	130270	130270
178	130242	130266
179	130267	130269
180	130267	130270
181	130266	130254
182	130268	130260
183	130283	130275
184	130124	130253
185	130259	130257
186	130262	130261
187	130277	130288
188	130261	130284
189	130411	130274
190	130263	130278
191	130258	130265
192	130279	130291
193	130274	130278
194	130283	130282
195	130279	130265
196	130291	130126
197	130094	130281
198	130285	130273
199	130271	130277
200	130289	131067
201	130270	130281
202	130269	130300
203	130287	130277
204	130272	130281
205	130292	130270
206	130276	130264
207	130281	130263
208	130271	130269
209	130269	130279
210	130262	130114
211	130141	130287
212	130285	130286
213	130272	130273
214	130267	130274
215	130281	130283
216	130272	130297
217	130289	130267
218	130276	130285
219	130278	130274
220	130270	130278
221	130279	130270
222	130272	130278
223	130278	130124
224	130134	130286
225	130279	130288
226	130294	130282
227	130288	130278
228	130274	130282
229	130271	130302
230	130261	130269
231	130268	130286
232	130284	130279
233	130263	130261
234	130293	130279
235	130275	130307
236	130273	130126
237	130151	130285
238	130293	130287
239	130283	130280
240	130285	130275
241	130291	130285
242	130297	130282
243	130274	130260
244	130286	130412
245	130300	130297
246	130289	130287
247	130284	130293
248	130292	130286
249	130279	130136
250	130146	130283
251	130291	130285
252	130276	130285
253	130282	130281
254	130277	130276
255	130274	130286
256	130848	130291
257	130279	130303
258	130298	130266
259	130294	130286
260	130284	130276
261	130286	130284
262	130292	130293
263	130295	130120
264	130284	130283
265	130285	130292
266	130283	130283
267	130276	130274
268	130284	130283
269	130281	130296
270	130270	130268
271	130280	130273
272	130263	130274
273	130292	130265
274	130278	130274
275	130262	130280
276	130127	130283
277	130271	130273
278	130282	130298
279	130270	130265
280	130276	130260
281	130272	130268
282	130282	130261
283	130270	130277
284	130259	130257
285	130268	130275
286	130265	130264
287	130294	130256
288	130261	130280
289	130135	130274
290	130269	130277
291	130256	130273
292	130257	130276
293	130290	130274
294	130257	130278
295	130297	130277
296	130273	130264
297	130272	130267
298	130260	130268
299	130261	130396
300	130274	130266
301	130264	130110
302	130125	130291
303	130284	130281
304	130281	130289
305	130282	130264
306	130268	130270
307	130272	130275
308	130286	130273
309	130275	130270
310	130267	130277
311	131086	130254
312	130261	130273
313	130270	130295
314	130290	130272
315	130259	130134
316	130288	130271
317	130271	130274
318	130288	130271
319	130274	130261
320	130273	130281
321	130285	130288
322	130281	130266
323	130276	130277
324	130275	130264
325	130272	130274
326	130287	130280
327	130287	130260
328	130130	130284
329	130275	130263
330	130271	130287
331	130273	130273
332	130280	130274
333	130258	130291
334	130269	130280
335	130262	130270
336	130284	130282
337	130260	130264
338	130269	130270
339	130291	130272
340	130272	130148
341	130126	130269
342	130281	130283
343	130285	130295
344	130288	130276
345	130297	130311
346	130290	130295
347	130303	130300
348	130292	130282
349	130288	130346
350	130297	130291
351	130284	130272
352	130287	130285
353	130297	130299
354	130131	130536
355	130270	130296
356	130283	130296
357	130281	130296
358	130291	130285
359	130282	130327
360	130295	130278
361	130298	130274
362	130285	130290
363	130289	130281
364	130294	130281
365	130285	130278
366	130280	130840
367	130285	130292
368	130283	130131
369	130287	130280
370	130274	130283
371	130273	130277
372	130282	130276
373	130271	130289
374	130310	130282
375	130304	130273
376	130289	130292
377	130301	130285
378	130283	130289
379	130294	130288
380	130269	130305
381	130295	130136
382	130263	130277
383	130282	130291
384	130284	130276
385	130288	130273
386	130292	130275
387	130283	130286
388	130273	130270
389	130283	130265
390	130278	130283
391	130260	130266
392	130279	130263
393	130274	130266
394	130124	130278
395	130272	130281
396	130258	130280
397	130244	130272
398	130260	130259
399	130271	130272
400	130271	130261
401	130277	130261
402	130279	130273
403	130276	130280
404	130266	130288
405	130285	130252
406	130277	130115
407	130136	130274
408	130278	130277
409	130267	130256
410	130392	130274
411	130262	130282
412	130266	130272
413	130272	130288
414	130272	130276
415	130277	130275
416	130270	130280
417	130263	130276
418	130285	130265
419	130258	130139
420	130199	130285
421	130277	131066
422	130273	130285
423	130272	130273
424	130277	130278
425	130280	130282
426	130283	130289
427	130287	130274
428	130285	130290
429	130280	130262
430	130266	130267
431	130289	130272
432	130279	130272
433	130265	130111
434	130272	130278
435	130279	130267
436	130297	130274
437	130290	130279
438	130286	130271
439	130293	130267
440	130276	130282
441	130273	130271
442	130271	130262
443	130292	130265
444	130287	130271
445	130264	130245
446	130126	130274
447	130265	130280
448	130279	130273
449	130276	130274
450	130274	130276
451	130270	130284
452	130283	130271
453	130270	130286
454	130262	130274
455	130273	130275
456	130273	130274
457	130284	130263
458	130259	130132
459	130121	130294
460	130257	130280
461	130266	130297
462	130283	130294
463	130306	130282
464	130271	130278
465	130381	130288
466	130291	130259
467	130281	130302
468	130285	130279
469	130291	130282
470	130286	130284
471	130280	130127
472	130121	130279
473	130275	130298
474	130304	130275
475	130268	130282
476	130287	130851
477	130308	130283
478	130299	130283
479	130281	130280
480	130294	130272
481	130279	130286
482	130272	130286
483	130291	130280
484	130267	130292
485	130283	130132
486	130122	130272
487	130272	130280
488	130298	130276
489	130280	130278
490	130272	130275
491	130271	130281
492	130286	130273
493	130298	130279
494	130273	130262
495	130286	130273
496	130274	130274
497	130293	130264
498	130123	130274
499	130267	130264
500	130278	130280
501	130273	130274
502	130256	130265
503	130273	130277
504	130279	130259
505	130261	130276
506	130273	130267
507	130287	130261
508	130268	130267
509	130276	130259
510	130271	130119
511	130177	130272
512	130263	130266
513	130282	130266
514	130257	130266
515	130275	130254
516	130268	130268
517	130292	130272
518	130249	130281
519	130275	130267
520	130398	130262
521	130282	130271
522	130291	130275
523	130123	130258
524	130262	130254
525	130284	130280
526	130275	130278
527	130267	130274
528	130283	130262
529	130269	130278
530	130272	130251
531	130280	130254
532	131068	130288
533	130273	130272
534	130287	130277
535	130280	130260
536	130271	130134
537	130137	130273
538	130276	130256
539	130275	130276
540	130292	130269
541	130279	130276
542	130277	130292
543	130290	130280
544	130280	130280
545	130267	130279
546	130268	130288
547	130277	130271
548	130281	130282
549	130281	130133
550	130127	130265
551	130268	130276
552	130293	130279
553	130272	130281
554	130279	130277
555	130273	130273
556	130292	130274
557	130264	130263
558	130278	130276
559	130296	130280
560	130287	130296
561	130274	130293
562	130274	130119
563	130284	130299
564	130284	130273
565	130284	130287
566	130302	130293
567	130281	130292
568	130295	130299
569	130293	130292
570	130288	130285
571	130285	130289
572	130298	130291
573	130286	130283
574	130285	130277
575	130289	130245
576	130133	130287
577	130286	130298
578	130282	130276
579	130283	130284
580	130283	130277
581	130274	130289
582	130277	130281
583	130289	130292
584	130283	130280
585	130287	130281
586	130291	130302
587	130823	130294
588	130276	130290
589	130124	130298
590	130269	130291
591	130292	130293
592	130287	130273
593	130295	130283
594	130280	130302
595	130278	130296
596	130264	130286
597	130278	130287
598	130281	130280
599	130264	130266
600	130289	130278
601	130269	130298
602	130274	130284
603	130277	130296
604	130288	130274
605	130136	130285
606	130279	130279
607	130261	130279
608	130273	130271
609	130271	130277
610	130267	130274
611	130269	130295
612	130268	130274
613	130269	130293
614	130278	130257
615	130259	130263
616	130272	130284
617	130285	130259
618	130289	130264
619	130262	130272
620	130281	130269
621	130254	130115
622	130256	130256
623	130257	130266
624	130274	130272
625	130277	130273
626	130264	130257
627	130266	130276
628	130302	130276
629	130263	130274
630	130288	130426
631	130268	130267
632	130298	130271
633	130279	130258
634	130299	130252
635	130300	130130
636	130122	130254
637	130267	130276
638	130280	130273
639	130280	130269
640	130273	130253
