ITERNUM	METIME1	METIME2
1	2005	2004
2	2004	2004
3	2004	2006
4	2005	2004
5	2000	2004
6	2006	2004
7	2004	2004
8	2002	2004
9	2005	2004
10	2004	2006
11	2003	2001
12	2004	2006
13	2004	2004
14	2004	2000
15	2006	2004
16	2004	2004
17	2004	2003
18	2004	2004
19	2004	2006
20	2005	2004
21	2001	2004
22	2006	2004
23	2004	2004
24	2002	2004
25	2005	2004
26	2004	2006
27	2002	2003
28	2005	2006
29	2005	2004
30	2003	2001
31	2006	2004
32	2004	2004
33	2007	2000
34	2004	2004
35	2004	2006
36	2004	2000
37	2005	2006
38	2004	2004
39	2004	2003
40	2005	2004
41	2005	2004
42	2006	2004
43	2001	2004
44	2005	2006
45	2005	2004
46	2000	2004
47	2004	2004
48	2005	2004
49	2003	2003
50	2004	2004
51	2005	2006
52	2004	2001
53	2004	2006
54	2004	2004
55	2005	2000
56	2006	2004
57	2004	2004
58	2006	2000
59	2005	2004
60	2004	2006
61	2005	2002
62	2003	2004
63	2004	2004
64	2004	2004
65	2003	2004
66	2004	2004
67	2004	2006
68	2000	2004
69	2004	2006
70	2004	2004
71	2000	2004
72	2006	2004
73	2004	2004
74	2004	2003
75	2004	2004
76	2004	2006
77	2004	2000
78	2004	2004
79	2004	2004
80	2004	2000
81	2006	2004
82	2004	2004
83	2005	2002
84	2004	2004
85	2004	2006
86	2005	2001
87	2004	2004
88	2006	2004
89	2005	2003
90	2005	2004
91	2005	2004
92	2004	2006
93	2001	2004
94	2004	2004
95	2004	2004
96	2000	2004
97	2007	2004
98	2004	2004
99	2000	2006
100	2005	2004
101	2005	2006
102	2000	2004
103	2005	2004
104	2006	2004
105	2000	2004
106	2007	2004
107	2004	2004
108	2002	2005
109	2005	2004
110	2004	2004
111	2004	2001
112	2005	2004
113	2006	2004
114	2005	2001
115	2004	2006
116	2004	2004
117	2004	2006
118	2000	2004
119	2004	2004
120	2006	2004
121	2004	1999
122	2007	2004
123	2004	2004
124	2004	2006
125	2000	2004
126	2005	2004
127	2005	2004
128	2004	2000
129	2006	2004
130	2005	2004
131	2004	2005
132	2002	2004
133	2004	2006
134	2004	2004
135	2001	2003
136	2006	2004
137	2004	2004
138	2006	1999
139	2004	2004
140	2004	2006
141	2005	2004
142	2000	2006
143	2005	2004
144	2004	2004
145	2004	2002
146	2004	2004
147	2006	2004
148	2004	2001
149	2004	2006
150	2004	2004
151	2004	2004
152	2002	2004
153	2005	2004
154	2006	2004
155	2004	1999
156	2004	2006
157	2004	2004
158	2004	2005
159	2003	2004
160	2004	2004
161	2006	2004
162	2000	2004
163	2004	2006
164	2004	2004
165	2004	2001
166	2004	2004
167	2004	2004
168	2007	2003
169	2002	2004
170	2006	2004
171	2004	2004
172	2000	2006
173	2005	2004
174	2004	2004
175	2004	1999
176	2005	2004
177	2006	2004
178	2005	2003
179	2003	2006
180	2004	2004
181	2005	2006
182	2000	2004
183	2004	2004
184	2006	2004
185	2004	1999
186	2006	2004
187	2004	2004
188	2004	2004
189	2004	2004
190	2004	2004
191	2004	2004
192	2000	2004
193	2006	2004
194	2004	2004
195	2003	2003
196	2005	2004
197	2004	2006
198	2004	2000
199	2004	2004
200	2007	2004
201	2005	2004
202	2002	2004
203	2005	2004
204	2004	2006
205	2001	2004
206	2004	2004
207	2004	2004
208	2004	2000
209	2006	2004
210	2004	2004
211	2004	2121
212	2004	2004
213	2004	2006
214	2004	2004
215	2000	2004
216	2006	2004
217	2004	2004
218	2003	2003
219	2005	2004
220	2004	2006
221	2005	2000
222	2004	2004
223	2004	2004
224	2004	2001
225	2006	2004
226	2004	2004
227	2005	2006
228	2000	2004
229	2005	2006
230	2004	2004
231	2000	2004
232	2006	2004
233	2004	2004
234	2006	2000
235	2004	2004
236	2004	2006
237	2005	2000
238	2004	2006
239	2004	2004
240	2004	2003
241	2005	2004
242	2004	2004
243	2004	2006
244	2000	2004
245	2004	2006
246	2004	2004
247	2001	2003
248	2006	2004
249	2004	2004
250	2006	2000
251	2005	2004
252	2005	2006
253	2004	2000
254	2004	2006
255	2004	2004
256	2005	2003
257	2005	2004
258	2004	2004
259	2004	2006
260	2000	2004
261	2005	2006
262	2004	2004
263	2001	2003
264	2006	2004
265	2004	2004
266	2006	2000
267	2004	2004
268	2004	2006
269	2005	2000
270	2004	2006
271	2004	2004
272	2004	2002
273	2006	2004
274	2004	2004
275	2004	2006
276	2001	2004
277	2005	2006
278	2005	2004
279	2000	2004
280	2006	2004
281	2005	2004
282	2003	2003
283	2004	2004
284	2004	2006
285	2004	2000
286	2004	2006
287	2004	2004
288	2005	2000
289	2006	2004
290	2004	2004
291	2006	2001
292	2005	2004
293	2004	2006
294	2004	2003
295	2003	2004
296	2004	2004
297	2004	2004
298	2003	2004
299	2004	2004
300	2004	2006
301	2000	2004
302	2005	2006
303	2004	2004
304	2001	2003
305	2006	2004
306	2004	2004
307	2005	2001
308	2004	2004
309	2005	2006
310	2004	2000
311	2004	2004
312	2005	2004
313	2004	2000
314	2006	2004
315	2004	2004
316	2004	2003
317	2004	2004
318	2005	2006
319	2005	2003
320	2003	2004
321	2006	2004
322	2004	2004
323	2003	2004
324	2004	2004
325	2004	2006
326	2000	2004
327	2004	2004
328	2004	2004
329	2000	2004
330	2006	2004
331	2004	2004
332	2001	2005
333	2004	2004
334	2004	2006
335	2003	2001
336	2004	2004
337	2007	2004
338	2004	2000
339	2006	2004
340	2004	2004
341	2004	2002
342	2005	2004
343	2004	2004
344	2004	2000
345	2004	2004
346	2006	2004
347	2005	2000
348	2004	2006
349	2004	2004
350	2005	2003
351	2004	2004
352	2004	2004
353	2006	2003
354	2003	2004
355	2006	2004
356	2004	2004
357	2002	2006
358	2004	2004
359	2005	2004
360	2000	2004
361	2004	2004
362	2006	2004
363	2000	2004
364	2005	2006
365	2004	2004
366	2000	2006
367	2004	2004
368	2004	2004
369	2002	2004
370	2004	2004
371	2006	2004
372	2001	2004
373	2004	2006
374	2005	2004
375	2002	2003
376	2005	2004
377	2004	2004
378	2005	2002
379	2004	2004
380	2005	2006
381	2003	2001
382	2005	2006
383	2004	2004
384	2004	2000
385	2006	2004
386	2004	2004
387	2006	2000
388	2004	2004
389	2004	2006
390	2004	2000
391	2004	2004
392	2004	2004
393	2005	2000
394	2006	2004
395	2004	2004
396	2004	2002
397	2005	2004
398	2004	2006
399	2005	2000
400	2004	2004
401	2006	2004
402	2004	2000
403	2006	2004
404	2004	2004
405	2005	2002
406	2004	2004
407	2005	2006
408	2004	2000
409	2005	2004
410	2006	2004
411	2005	2000
412	2004	2006
413	2004	2004
414	2004	2002
415	2005	2004
416	2005	2004
417	2004	2000
418	2005	2004
419	2006	2004
420	2005	2000
421	2004	2006
422	2004	2004
423	2004	2002
424	2005	2004
425	2004	2004
426	2006	2000
427	2004	2004
428	2006	2004
429	2005	2000
430	2004	2006
431	2005	2004
432	2004	2000
433	2005	2004
434	2004	2004
435	2006	2000
436	2004	2004
437	2004	2006
438	2005	2000
439	2004	2006
440	2005	2004
441	2004	2000
442	2006	2004
443	2004	2004
444	2007	2000
445	2004	2004
446	2004	2006
447	2005	2000
448	2004	2004
449	2005	2004
450	2004	2000
451	2006	2004
452	2004	2004
453	2004	2002
454	2004	2004
455	2004	2006
456	2005	2000
457	2004	2004
458	2006	2004
459	2005	2000
460	2006	2004
461	2004	2004
462	2004	2002
463	2005	2004
464	2004	2006
465	2004	2000
466	2004	2004
467	2006	2004
468	2004	2000
469	2004	2006
470	2004	2004
471	2005	2002
472	2004	2004
473	2004	2004
474	2006	2001
475	2005	2004
476	2006	2004
477	2004	2000
478	2004	2006
479	2005	2004
480	2004	2002
481	2005	2004
482	2004	2004
483	2006	2000
484	2004	2004
485	2006	2004
486	2004	2000
487	2004	2006
488	2004	2004
489	2004	2000
490	2005	2004
491	2004	2004
492	2007	2000
493	2004	2004
494	2004	2006
495	2004	2000
496	2005	2006
497	2005	2004
498	2004	2001
499	2006	2004
500	2004	2004
501	2006	2001
502	2005	2004
503	2004	2006
504	2005	2001
505	2004	2004
506	2004	2004
507	2004	2001
508	2006	2004
509	2004	2004
510	2004	2003
511	2004	2004
512	2004	2006
513	2005	2001
514	2004	2004
515	2006	2004
516	2004	2002
517	2006	2004
518	2004	2004
519	2005	2003
520	2004	2004
521	2004	2004
522	2004	2002
523	2004	2004
524	2006	2004
525	2004	2001
526	2004	2006
527	2004	2004
528	2005	2003
529	2004	2004
530	2004	2004
531	2006	2002
532	2004	2004
533	2006	2004
534	2005	2001
535	2004	2006
536	2004	2004
537	2005	2002
538	2004	2004
539	2005	2004
540	2006	2002
541	2004	2004
542	2004	2006
543	2005	2001
544	2004	2006
545	2004	2004
546	2005	2001
547	2006	2004
548	2004	2004
549	2006	2001
550	2004	2004
551	2004	2006
552	2005	2001
553	2005	2004
554	2004	2004
555	2005	2001
556	2006	2004
557	2004	2004
558	2004	2003
559	2005	2004
560	2004	2006
561	2005	2001
562	2004	2004
563	2006	2004
564	2005	2001
565	2006	2004
566	2005	2004
567	2004	2002
568	2004	2004
569	2004	2004
570	2006	2000
571	2004	2004
572	2006	2004
573	2004	2000
574	2004	2006
575	2004	2004
576	2004	2002
577	2004	2004
578	2004	2004
579	2006	2000
580	2005	2004
581	2006	2004
582	2004	2000
583	2004	2006
584	2004	2004
585	2005	2000
586	2006	2004
587	2005	2004
588	2006	2000
589	2004	2004
590	2004	2006
591	2004	2000
592	2005	2006
593	2004	2004
594	2004	2000
595	2006	2004
596	2004	2004
597	2007	2000
598	2004	2004
599	2005	2006
600	2004	2000
601	2004	2004
602	2004	2004
603	2004	2000
604	2006	2004
605	2004	2004
606	2004	2003
607	2005	2004
608	2004	2006
609	2003	2001
610	2004	2004
611	2006	2004
612	2003	2002
613	2006	2004
614	2005	2004
615	2002	2004
616	2005	2004
617	2004	2004
618	2004	2003
619	2005	2004
620	2006	2004
621	2001	2004
622	2004	2006
623	2004	2004
624	2000	2006
625	2004	2004
626	2004	2004
627	2002	2004
628	2004	2004
629	2006	2004
630	2000	2004
631	2004	2006
632	2005	2004
633	2000	2004
634	2007	2004
635	2004	2004
636	2002	2004
637	2005	2004
638	2004	2006
639	2001	2004
640	2004	2006
641	2004	2004
642	2000	2004
643	2006	2004
644	2004	2004
645	2003	2004
646	2004	2004
647	2005	2006
648	2002	2004
649	2004	2004
650	2007	2003
651	2002	2004
652	2006	2004
653	2005	2002
654	2004	2006
655	2004	2004
656	2004	2004
657	2004	2004
658	2005	2004
659	2006	2001
660	2004	2004
661	2004	2006
662	2005	2000
663	2004	2006
664	2004	2004
665	2004	2000
666	2006	2004
667	2004	2004
668	2006	2000
669	2004	2004
670	2004	2006
671	2005	2000
672	2004	2006
673	2004	2004
674	2005	2000
675	2006	2004
676	2004	2004
677	2004	2002
678	2004	2004
679	2004	2007
680	2004	2001
681	2004	2004
682	2006	2004
683	2003	2002
684	2006	2004
685	2004	2004
686	2001	2005
687	2004	2004
688	2005	2004
689	2000	2004
690	2004	2004
691	2006	2004
692	2000	2004
693	2004	2006
694	2005	2004
695	2000	2006
696	2004	2004
697	2004	2004
698	2002	2004
699	2004	2004
700	2006	2004
701	2000	2004
702	2004	2006
703	2005	2004
704	2002	2004
705	2004	2004
706	2005	2004
707	2006	2000
708	2004	2004
709	2005	2006
710	2004	2000
711	2004	2006
712	2005	2004
713	2004	2000
714	2006	2004
715	2004	2004
716	2006	2002
717	2004	2004
718	2004	2006
719	2004	2004
720	2002	2006
721	2005	2004
722	2004	2004
723	2002	2004
724	2004	2004
725	2004	2006
726	2000	2004
727	2004	2006
728	2005	2004
729	2000	2004
730	2005	2004
731	2004	2004
732	2003	2004
733	2005	2004
734	2006	2004
735	2000	2004
736	2004	2006
737	2005	2004
738	2001	2003
739	2005	2004
740	2004	2004
741	2003	2003
742	2004	2004
743	2006	2004
744	2002	2002
