ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	64144	64137	64349	7	212	6	96
2	64141	64135	64346	6	211	6	96
3	64143	64135	64348	8	213	7	96
4	64142	64136	64344	6	208	5	96
5	64143	64135	64347	8	212	6	96
6	64141	64133	64344	8	211	6	96
7	64144	64134	64350	10	216	7	96
8	64142	64136	64344	6	208	5	96
9	64144	64136	64347	8	211	7	96
10	64141	64134	64345	7	211	6	96
11	64138	64132	64343	6	211	6	96
12	64141	64132	64342	9	210	6	96
13	64141	64135	64348	6	213	6	96
14	64144	64137	64348	7	211	5	96
15	64141	64135	64347	6	212	5	96
16	64143	64136	64347	7	211	5	96
17	64141	64135	64344	6	209	6	96
18	64144	64135	64346	9	211	6	96
19	64142	64136	64346	6	210	5	96
20	64140	64133	64346	7	213	6	96
21	64717	64146	64919	571	773	9	97
22	64140	64132	64344	8	212	6	96
23	64141	64133	64345	8	212	6	96
24	64143	64136	64345	7	209	6	96
25	64144	64136	64347	8	211	6	96
26	64141	64134	64346	7	212	7	96
27	64144	64135	64348	9	213	7	96
28	64142	64136	64348	6	212	5	97
29	64144	64137	64348	7	211	5	96
30	64138	64131	64341	7	210	5	96
31	64144	64135	64348	9	213	7	96
32	64141	64135	64345	6	210	5	96
33	64144	64138	64348	6	210	5	96
34	64144	64136	64347	8	211	6	96
35	64141	64135	64345	6	210	5	96
36	64144	64136	64346	8	210	6	96
37	64136	64130	64339	6	209	5	96
38	64144	64136	64346	8	210	6	96
39	64142	64136	64346	6	210	5	96
40	64143	64135	64348	8	213	7	96
41	64141	64134	64345	7	211	6	96
42	64141	64134	64344	7	210	5	96
43	64142	64134	64346	8	212	7	96
44	64141	64135	64346	6	211	6	96
45	64143	64135	64347	8	212	6	96
46	64134	64125	64339	9	214	6	96
47	64144	64136	64346	8	210	6	96
48	64141	64135	64346	6	211	6	96
49	64144	64136	64348	8	212	6	96
50	64141	64135	64346	6	211	6	96
51	64144	64135	64347	9	212	6	96
52	64142	64134	64345	8	211	6	96
53	64141	64134	64346	7	212	7	96
54	64144	64136	64346	8	210	6	96
55	64136	64130	64338	6	208	5	96
56	64145	64136	64349	9	213	7	96
57	64144	64135	64348	9	213	6	96
58	64139	64130	64345	9	215	7	97
59	64145	64138	64347	7	209	6	96
60	64140	64133	64344	7	211	5	96
61	64144	64136	64348	8	212	6	96
62	64143	64136	64348	7	212	7	96
63	64137	64131	64343	6	212	5	96
64	64144	64137	64348	7	211	6	96
65	64143	64135	64345	8	210	6	96
66	64142	64135	64346	7	211	6	96
67	64145	64138	64349	7	211	5	96
68	64138	64130	64342	8	212	6	96
69	64145	64138	64351	7	213	5	96
70	64144	64138	64346	6	208	5	96
71	64142	64132	64344	10	212	7	96
72	64145	64137	64350	8	213	7	96
73	64138	64130	64344	8	214	6	96
74	64140	64132	64344	8	212	6	96
75	64146	64138	64349	8	211	6	96
76	64140	64132	64347	8	215	7	96
77	64143	64135	64350	8	215	8	96
78	64141	64133	64343	8	210	6	96
79	64140	64132	64345	8	213	7	96
80	64147	64139	64351	8	212	6	96
81	64139	64133	64343	6	210	5	96
82	64145	64138	64351	7	213	5	96
83	64139	64132	64344	7	212	7	96
84	64144	64138	64346	6	208	5	96
85	64140	64133	64347	7	214	6	96
86	64144	64136	64348	8	212	6	96
87	64141	64133	64345	8	212	6	96
88	64139	64133	64345	6	212	5	96
89	64148	64140	64349	8	209	5	96
90	64139	64132	64343	7	211	6	96
91	64146	64138	64352	8	214	6	96
92	64139	64132	64341	7	209	6	96
93	64147	64141	64349	6	208	5	96
94	64139	64132	64343	7	211	6	96
95	64144	64137	64347	7	210	6	96
96	64141	64134	64343	7	209	5	96
97	64145	64138	64348	7	210	7	96
98	64140	64132	64344	8	212	6	96
99	64143	64135	64347	8	212	6	96
100	64140	64133	64344	7	211	5	96
101	64144	64137	64348	7	211	6	96
102	64141	64134	64345	7	211	5	96
103	64143	64136	64347	7	211	6	96
104	64140	64134	64342	6	208	5	96
105	64141	64134	64345	7	211	5	96
106	64139	64132	64341	7	209	6	96
107	64149	64141	64352	8	211	5	96
108	64138	64131	64342	7	211	6	96
109	64141	64132	64345	9	213	6	96
110	64144	64138	64346	6	208	5	96
111	64140	64133	64344	7	211	5	96
112	64138	64131	64344	7	213	6	96
113	64146	64137	64350	9	213	6	96
114	64258	64134	64461	124	327	7	97
115	64138	64131	64342	7	211	6	96
116	64147	64140	64349	7	209	5	96
117	64139	64133	64341	6	208	5	96
118	64147	64138	64348	9	210	6	96
119	64140	64134	64344	6	210	5	96
120	64140	64133	64347	7	214	6	96
121	64144	64137	64346	7	209	6	96
122	64140	64132	64344	8	212	6	96
123	64139	64133	64344	6	211	6	96
124	64145	64138	64346	7	208	5	96
125	64138	64131	64342	7	211	5	96
126	64144	64137	64349	7	212	7	96
127	64141	64134	64345	7	211	5	96
128	64139	64132	64341	7	209	6	96
129	64146	64139	64350	7	211	5	96
130	64138	64132	64344	6	212	5	96
131	64147	64140	64352	7	212	6	96
132	64138	64131	64342	7	211	6	96
133	64143	64135	64347	8	212	6	96
134	64144	64137	64346	7	209	6	96
135	64142	64136	64344	6	208	5	96
136	64144	64134	64347	10	213	6	96
137	64144	64137	64346	7	209	6	96
138	64141	64134	64345	7	211	5	96
139	64140	64134	64342	6	208	5	96
140	64146	64139	64350	7	211	5	96
141	64139	64133	64341	6	208	5	96
142	64140	64133	64346	7	213	5	96
143	64140	64134	64345	6	211	6	96
144	64146	64138	64351	8	213	7	96
145	64142	64134	64347	8	213	7	96
146	64140	64134	64342	6	208	5	96
147	64145	64137	64349	8	212	6	96
148	64138	64130	64345	8	215	7	96
149	64141	64134	64343	7	209	5	96
150	64145	64139	64352	6	213	6	97
151	64140	64131	64344	9	213	7	96
152	64139	64133	64343	6	210	5	96
153	64147	64139	64349	8	210	6	96
154	64138	64131	64342	7	211	6	96
155	64140	64133	64342	7	209	6	96
156	64145	64138	64349	7	211	5	96
157	64138	64132	64342	6	210	5	96
158	64146	64138	64350	8	212	6	96
159	64140	64133	64347	7	214	7	96
160	64140	64132	64342	8	210	6	96
161	64144	64138	64348	6	210	5	96
162	64142	64134	64344	8	210	6	96
163	64140	64132	64341	8	209	6	96
164	64146	64139	64348	7	209	5	96
165	64138	64132	64340	6	208	5	96
166	64145	64139	64349	6	210	5	96
167	64140	64132	64344	8	212	6	96
168	64138	64130	64342	8	212	6	96
169	64146	64138	64352	8	214	6	96
170	64139	64132	64341	7	209	6	96
171	64146	64138	64350	8	212	6	96
172	64138	64131	64342	7	211	6	96
173	64147	64139	64351	8	212	6	96
174	64139	64133	64341	6	208	5	96
175	64139	64132	64341	7	209	6	96
176	64144	64137	64348	7	211	6	96
177	64140	64134	64344	6	210	5	96
178	64147	64140	64351	7	211	5	96
179	64139	64133	64343	6	210	5	96
180	64146	64139	64349	7	210	6	96
181	64139	64132	64341	7	209	6	96
182	64141	64134	64343	7	209	5	96
183	64143	64136	64347	7	211	6	96
184	64148	64139	64351	9	212	6	96
185	64141	64134	64345	7	211	6	96
186	64141	64135	64343	6	208	5	96
187	64144	64136	64348	8	212	6	96
188	64140	64132	64344	8	212	6	96
189	64144	64135	64345	9	210	6	96
190	64141	64134	64345	7	211	6	96
191	64142	64134	64346	8	212	6	96
192	64142	64136	64347	6	211	6	96
193	64142	64133	64346	9	213	7	96
194	64142	64135	64345	7	210	7	96
195	64140	64133	64348	7	215	6	96
196	64141	64134	64343	7	209	6	96
197	64142	64134	64344	8	210	6	96
198	64143	64136	64347	7	211	5	96
199	64140	64133	64346	7	213	6	96
200	64143	64135	64347	8	212	6	96
201	64145	64137	64348	8	211	7	96
202	64142	64135	64347	7	212	6	96
203	64141	64134	64345	7	211	6	96
204	64144	64135	64346	9	211	6	96
205	64141	64134	64347	7	213	6	96
206	64141	64135	64343	6	208	5	96
207	64141	64135	64347	6	212	5	96
208	64136	64129	64341	7	212	7	96
209	64143	64134	64349	9	215	6	96
210	64142	64135	64345	7	210	7	96
211	64144	64136	64348	8	212	6	97
212	64142	64135	64346	7	211	6	96
213	64143	64136	64346	7	210	6	96
214	64142	64134	64346	8	212	6	96
215	64139	64132	64344	7	212	6	96
216	64147	64139	64349	8	210	6	96
217	64137	64129	64340	8	211	6	96
218	64140	64133	64342	7	209	5	96
219	64146	64139	64350	7	211	6	96
220	64140	64133	64344	7	211	5	96
221	64138	64131	64341	7	210	7	96
222	64148	64140	64352	8	212	6	96
223	64139	64133	64341	6	208	5	96
224	64141	64133	64345	8	212	6	96
225	64146	64140	64350	6	210	5	96
226	64140	64134	64342	6	208	5	96
227	64138	64131	64344	7	213	6	96
228	64139	64133	64343	6	210	5	96
229	64149	64142	64353	7	211	5	96
230	64140	64132	64343	8	211	6	96
231	64140	64133	64344	7	211	5	96
232	64145	64139	64349	6	210	5	96
233	64143	64134	64347	9	213	6	96
234	64138	64131	64342	7	211	6	96
235	64147	64139	64353	8	214	6	96
236	64137	64131	64341	6	210	5	96
237	64142	64136	64348	6	212	5	96
238	64144	64137	64348	7	211	5	96
239	64138	64132	64342	6	210	5	96
240	64142	64135	64344	7	209	5	96
241	64145	64139	64351	6	212	5	96
242	64141	64133	64343	8	210	6	96
243	64139	64133	64341	6	208	5	96
244	64941	64162	65140	779	978	8	97
245	64140	64134	64342	6	208	5	96
246	64141	64132	64343	9	211	6	96
247	64139	64132	64343	7	211	6	96
248	64148	64140	64352	8	212	7	96
249	64142	64135	64344	7	209	6	96
250	64140	64131	64343	9	212	6	96
251	64142	64133	64343	9	210	6	96
252	64140	64134	64344	6	210	5	96
253	64146	64138	64350	8	212	6	96
254	64146	64139	64351	7	212	7	96
255	64141	64133	64345	8	212	6	96
256	64141	64133	64345	8	212	7	96
257	64142	64135	64348	7	213	5	96
258	64140	64133	64342	7	209	6	96
259	64140	64134	64344	6	210	5	96
260	64144	64136	64346	8	210	6	96
261	64149	64142	64352	7	210	6	96
262	64142	64135	64347	7	212	6	96
263	64139	64133	64343	6	210	5	96
264	64143	64136	64347	7	211	5	96
265	64141	64135	64347	6	212	5	96
266	64141	64134	64347	7	213	5	96
267	64141	64133	64343	8	210	7	96
268	64146	64138	64348	8	210	6	96
269	64146	64139	64353	7	214	7	96
270	64140	64132	64344	8	212	6	96
271	64142	64134	64344	8	210	6	96
272	64141	64134	64345	7	211	6	97
273	64142	64134	64346	8	212	6	96
274	64140	64133	64344	7	211	6	96
275	64144	64137	64348	7	211	5	96
276	64141	64134	64343	7	209	6	96
277	64142	64134	64348	8	214	6	96
278	64141	64135	64345	6	210	5	96
279	64143	64136	64347	7	211	5	96
280	64141	64135	64345	6	210	5	96
281	64141	64134	64345	7	211	6	96
282	64144	64136	64346	8	210	6	96
283	64142	64135	64346	7	211	6	96
284	64143	64136	64347	7	211	5	96
285	64136	64130	64342	6	212	5	96
286	64143	64135	64345	8	210	6	96
287	64141	64133	64344	8	211	6	96
288	64143	64135	64349	8	214	6	96
289	64141	64135	64345	6	210	5	96
290	64141	64134	64345	7	211	6	96
291	64141	64135	64345	6	210	5	96
292	64143	64136	64345	7	209	6	96
293	64143	64135	64345	8	210	6	96
294	64138	64131	64342	7	211	6	96
295	64143	64135	64347	8	212	6	96
296	64142	64135	64348	7	213	6	96
297	64144	64136	64345	8	209	5	96
298	64141	64135	64345	6	210	5	96
299	64143	64136	64347	7	211	5	96
300	64136	64129	64340	7	211	6	96
301	64141	64135	64345	6	210	5	96
302	64144	64136	64349	8	213	6	96
303	64142	64135	64344	7	209	6	96
304	64144	64136	64348	8	212	6	96
305	64141	64133	64345	8	212	6	96
306	64137	64128	64342	9	214	7	96
307	64141	64135	64347	6	212	5	96
308	64144	64135	64345	9	210	6	96
309	64142	64136	64344	6	208	5	96
310	64139	64132	64347	7	215	6	96
311	64144	64137	64348	7	211	6	96
312	64141	64132	64343	9	211	6	96
313	64140	64133	64344	7	211	5	96
314	64145	64139	64349	6	210	5	96
315	64140	64132	64344	8	212	6	96
316	64147	64141	64349	6	208	5	96
317	64141	64131	64345	10	214	6	96
318	64141	64134	64345	7	211	6	96
319	64146	64138	64350	8	212	6	96
320	64139	64130	64343	9	213	6	96
321	64144	64137	64348	7	211	6	96
322	64140	64133	64342	7	209	6	96
323	64144	64137	64346	7	209	6	96
324	64140	64133	64344	7	211	5	96
325	64141	64134	64343	7	209	6	96
326	64147	64137	64350	10	213	7	96
327	64139	64133	64341	6	208	5	96
328	64142	64134	64344	8	210	6	96
329	64139	64133	64343	6	210	5	96
330	64146	64136	64350	10	214	7	96
331	64139	64133	64345	6	212	5	96
332	64140	64133	64344	7	211	6	96
333	64140	64133	64345	7	212	6	96
334	64145	64139	64347	6	208	5	96
335	64142	64135	64344	7	209	5	96
336	64139	64131	64343	8	212	6	96
337	64268	64143	64469	125	326	7	97
338	64142	64136	64346	6	210	5	96
339	64140	64131	64344	9	213	6	96
340	64139	64132	64343	7	211	6	96
341	64147	64140	64351	7	211	5	96
342	64140	64134	64346	6	212	5	96
343	64141	64134	64346	7	212	7	96
344	64143	64135	64347	8	212	6	96
345	64141	64134	64346	7	212	7	96
346	64142	64135	64346	7	211	5	96
347	64141	64135	64345	6	210	5	96
348	64147	64138	64351	9	213	6	96
349	64141	64134	64346	7	212	7	96
350	64141	64134	64345	7	211	5	96
351	64140	64134	64342	6	208	5	96
352	64140	64134	64342	6	208	5	96
353	64140	64134	64343	6	209	5	96
354	64145	64139	64349	6	210	5	96
355	64142	64134	64346	8	212	6	96
356	64140	64133	64346	7	213	6	96
357	64141	64133	64345	8	212	6	96
358	64140	64133	64344	7	211	6	96
359	64146	64138	64352	8	214	6	96
360	64140	64133	64343	7	210	6	96
361	64142	64134	64344	8	210	6	96
362	64139	64133	64343	6	210	5	96
363	64145	64137	64349	8	212	7	96
