ITERNUM	METIME
1	1026264
2	1026269
3	1026270
4	1026268
5	1026263
6	1026272
7	1026387
8	1026304
9	1026261
10	1026268
11	1026267
12	1026271
13	1026264
14	1026500
15	1026264
16	1026260
17	1026260
18	1026273
19	1026268
20	1026267
21	1026393
22	1026272
23	1026277
24	1026255
25	1026265
26	1026267
27	1026284
28	1026384
29	1026271
30	1026269
31	1026268
32	1026258
33	1026261
34	1026269
35	1026386
36	1026274
37	1026260
38	1026269
39	1026257
40	1026271
41	1026266
42	1026390
43	1026265
44	1026264
45	1026267
46	1026261
47	1026258
48	1026269
49	1026392
50	1026260
51	1026265
52	1026272
53	1026263
54	1026261
55	1026270
56	1026508
57	1026267
58	1026266
59	1026266
60	1026258
61	1026261
62	1026279
63	1026396
64	1026278
65	1026261
66	1026268
67	1026262
68	1026269
69	1026267
70	1026399
71	1026266
72	1026270
73	1026268
74	1026269
75	1026267
76	1026276
77	1026395
78	1026268
79	1026269
80	1026267
81	1026277
82	1026260
83	1026271
84	1026385
85	1026266
86	1026258
87	1026263
88	1026276
89	1026267
90	1026260
91	1026381
92	1026301
93	1026259
94	1026278
95	1026265
96	1026259
97	1026265
98	1026507
99	1026266
100	1026264
