#ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS	STD
1	1003	1003	1205	0	202	2	95	0.00
2	1002	1002	1204	0	202	2	95	0.71
3	1002	1002	1204	0	202	2	95	0.58
4	1005	1004	1207	1	203	3	95	0.96
5	1003	1003	1203	0	200	2	95	0.84
6	999	999	1201	0	202	2	95	1.72
7	1002	1002	1202	0	200	2	95	1.57
8	1003	1003	1205	0	202	2	95	1.49
9	1003	1003	1205	0	202	2	95	1.41
10	1002	1002	1204	0	202	2	95	1.34
11	1004	1003	1206	1	203	3	95	1.29
12	1002	1002	1204	0	202	2	95	1.23
13	1002	1002	1204	0	202	2	95	1.18
14	1002	1002	1204	0	202	2	95	1.14
15	1002	1002	1204	0	202	2	95	1.10
16	1003	1003	1203	0	200	2	95	1.08
17	1003	1003	1205	0	202	2	95	1.06
18	1005	1004	1207	1	203	3	95	1.10
19	999	999	1201	0	202	2	95	1.33
20	1002	1002	1202	0	200	2	95	1.29
21	1003	1003	1203	0	200	2	95	1.27
22	1002	1002	1204	0	202	2	95	1.24
23	1003	1003	1203	0	200	2	95	1.22
24	1003	1003	1203	0	200	2	95	1.20
25	1002	1002	1204	0	202	2	95	1.18
26	1003	1003	1205	0	202	2	95	1.16
27	1002	1002	1204	0	202	2	95	1.14
28	1003	1003	1205	0	202	2	95	1.13
29	1003	1003	1203	0	200	2	95	1.12
30	1002	1002	1204	0	202	2	95	1.10
31	1003	1003	1205	0	202	2	95	1.09
32	1000	1000	1202	0	202	2	95	1.15
33	1003	1002	1205	1	203	3	95	1.13
34	1003	1003	1205	0	202	2	95	1.12
35	1003	1003	1203	0	200	2	95	1.11
36	1003	1003	1203	0	200	2	95	1.10
37	1003	1003	1203	0	200	2	95	1.09
38	1003	1003	1205	0	202	2	95	1.08
39	1003	1003	1203	0	200	2	95	1.07
40	1004	1003	1206	1	203	3	95	1.06
41	1003	1003	1203	0	200	2	95	1.05
42	1003	1003	1203	0	200	2	95	1.04
43	1003	1003	1205	0	202	2	95	1.03
44	1002	1002	1204	0	202	2	95	1.02
45	1001	1001	1203	0	202	2	95	1.03
46	999	999	1201	0	202	2	95	1.14
47	1003	1003	1203	0	200	2	95	1.13
48	1003	1003	1206	0	203	3	95	1.12
49	1002	1002	1204	0	202	2	95	1.11
50	1003	1003	1205	0	202	2	95	1.10
51	1003	1003	1205	0	202	2	95	1.10
52	1003	1003	1205	0	202	2	95	1.09
53	1003	1002	1202	1	200	2	95	1.08
54	1003	1003	1205	0	202	2	95	1.07
55	1005	1004	1207	1	203	3	95	1.08
56	1003	1003	1203	0	200	2	95	1.08
57	1003	1003	1203	0	200	2	95	1.07
58	1003	1003	1205	0	202	2	95	1.06
59	999	999	1199	0	200	2	95	1.15
60	1002	1002	1204	0	202	2	95	1.14
61	1003	1003	1203	0	200	2	95	1.13
62	1003	1003	1203	0	200	2	95	1.12
63	1002	1002	1204	0	202	2	95	1.12
64	1003	1003	1205	0	202	2	95	1.11
65	1003	1003	1205	0	202	2	95	1.10
66	1003	1003	1203	0	200	2	95	1.10
67	1003	1003	1203	0	200	2	95	1.09
68	1003	1003	1205	0	202	2	95	1.08
69	1003	1003	1203	0	200	2	95	1.08
70	1005	1004	1207	1	203	3	95	1.09
71	1003	1003	1203	0	200	2	95	1.08
72	999	999	1201	0	202	2	95	1.15
73	1002	1002	1204	0	202	2	95	1.14
74	1003	1003	1203	0	200	2	95	1.14
75	1003	1003	1205	0	202	2	95	1.13
76	1003	1003	1205	0	202	2	95	1.12
77	1005	1004	1207	1	203	3	95	1.13
78	1003	1003	1203	0	200	2	95	1.13
79	1002	1002	1204	0	202	2	95	1.12
80	1003	1003	1205	0	202	2	95	1.11
81	1003	1003	1203	0	200	2	95	1.11
82	1002	1002	1204	0	202	2	95	1.10
83	1003	1003	1203	0	200	2	95	1.10
84	1003	1003	1205	0	202	2	95	1.09
85	1000	1000	1202	0	202	2	95	1.12
86	1002	1002	1202	0	200	2	95	1.11
87	1003	1003	1205	0	202	2	95	1.11
88	1003	1003	1205	0	202	2	95	1.10
89	1003	1003	1205	0	202	2	95	1.10
90	1002	1002	1202	0	200	2	95	1.09
91	1002	1002	1206	0	204	2	95	1.09
92	1005	1004	1207	1	203	3	95	1.09
93	1003	1003	1205	0	202	2	95	1.09
94	1003	1003	1203	0	200	2	95	1.09
95	1003	1003	1205	0	202	2	95	1.08
96	1003	1003	1205	0	202	2	95	1.08
97	1003	1002	1202	1	200	2	95	1.07
98	1001	1001	1203	0	202	2	95	1.08
99	1002	1001	1204	1	203	3	95	1.08
100	1002	1002	1204	0	202	2	95	1.08
101	1003	1003	1205	0	202	2	95	1.07
102	1002	1002	1204	0	202	2	95	1.07
103	1003	1003	1203	0	200	2	95	1.06
104	1003	1003	1205	0	202	2	95	1.06
105	1002	1002	1204	0	202	2	95	1.06
106	1005	1004	1205	1	201	3	95	1.06
107	1003	1003	1205	0	202	2	95	1.06
108	1003	1003	1205	0	202	2	95	1.05
109	1003	1003	1205	0	202	2	95	1.05
110	1002	1002	1204	0	202	2	95	1.05
111	1000	1000	1202	0	202	2	95	1.07
112	1002	1002	1202	0	200	2	95	1.07
113	1002	1002	1204	0	202	2	95	1.06
114	1003	1003	1205	0	202	2	95	1.06
115	1003	1003	1203	0	200	2	95	1.05
116	1002	1002	1204	0	202	2	95	1.05
117	1003	1003	1203	0	200	2	95	1.05
118	1002	1002	1204	0	202	2	95	1.04
119	1003	1003	1203	0	200	2	95	1.04
120	1002	1002	1204	0	202	2	95	1.04
121	1005	1004	1207	1	203	3	95	1.04
122	1003	1003	1205	0	202	2	95	1.04
123	1003	1003	1203	0	200	2	95	1.04
124	1002	1002	1204	0	202	2	95	1.03
125	999	999	1199	0	200	2	95	1.07
126	1003	1003	1205	0	202	2	95	1.07
127	1003	1003	1205	0	202	2	95	1.07
128	1004	1003	1206	1	203	3	95	1.06
129	1002	1002	1204	0	202	2	95	1.06
130	1003	1003	1205	0	202	2	95	1.06
131	1003	1003	1205	0	202	2	95	1.06
132	1002	1002	1204	0	202	2	95	1.05
133	1003	1003	1205	0	202	2	95	1.05
134	1003	1003	1203	0	200	2	95	1.05
135	1002	1002	1204	0	202	2	95	1.04
136	1004	1003	1206	1	203	3	95	1.04
137	1002	1002	1204	0	202	2	95	1.04
138	998	998	1201	0	203	2	95	1.10
139	1002	1002	1204	0	202	2	95	1.10
140	1003	1003	1205	0	202	2	95	1.09
141	1003	1003	1203	0	200	2	95	1.09
142	1003	1003	1205	0	202	2	95	1.09
143	1005	1004	1205	1	201	3	95	1.09
144	1002	1002	1204	0	202	2	95	1.09
145	1002	1002	1204	0	202	2	95	1.09
146	1003	1003	1205	0	202	2	95	1.08
147	1003	1003	1205	0	202	2	95	1.08
148	1002	1002	1204	0	202	2	95	1.08
149	1002	1002	1204	0	202	2	95	1.08
150	1003	1003	1205	0	202	2	95	1.07
151	999	999	1199	0	200	2	95	1.11
152	1003	1003	1203	0	200	2	95	1.10
153	1003	1003	1203	0	200	2	95	1.10
154	1002	1002	1204	0	202	2	95	1.10
155	1002	1002	1204	0	202	2	95	1.09
156	1003	1003	1203	0	200	2	95	1.09
157	1003	1003	1205	0	202	2	95	1.09
158	1004	1003	1206	1	203	3	95	1.09
159	1002	1002	1204	0	202	2	95	1.08
160	1004	1003	1206	1	203	3	95	1.08
161	1003	1003	1203	0	200	2	95	1.08
162	1003	1003	1205	0	202	2	95	1.08
163	1003	1002	1202	1	200	2	95	1.07
164	1000	1000	1202	0	202	2	95	1.09
165	1002	1001	1204	1	203	3	95	1.09
166	1002	1002	1204	0	202	2	95	1.09
167	1003	1003	1205	0	202	2	95	1.08
168	1003	1003	1205	0	202	2	95	1.08
169	1003	1003	1205	0	202	2	95	1.08
170	1003	1003	1204	0	201	2	95	1.08
171	1003	1003	1203	0	200	2	95	1.07
172	1003	1003	1205	0	202	2	95	1.07
173	1003	1002	1205	1	203	3	95	1.07
174	1003	1003	1205	0	202	2	95	1.07
175	1003	1003	1205	0	202	2	95	1.07
176	1003	1002	1202	1	200	2	95	1.06
177	1002	1002	1204	0	202	2	95	1.06
178	999	999	1199	0	200	2	95	1.09
179	1003	1004	1204	-1	200	2	95	1.09
180	1004	1003	1206	1	203	3	95	1.09
181	1003	1003	1203	0	200	2	95	1.09
182	1002	1002	1204	0	202	2	95	1.08
183	1003	1003	1203	0	200	2	95	1.08
184	1003	1003	1205	0	202	2	95	1.08
185	1003	1003	1205	0	202	2	95	1.08
186	1003	1003	1205	0	202	2	95	1.08
187	1003	1003	1203	0	200	2	95	1.07
188	1003	1003	1205	0	202	2	95	1.07
189	1003	1003	1205	0	202	2	95	1.07
190	1003	1003	1205	0	202	2	95	1.07
191	999	999	1199	0	200	2	95	1.09
192	1002	1002	1202	0	200	2	95	1.09
193	1003	1003	1205	0	202	2	95	1.09
194	1002	1002	1204	0	202	2	95	1.09
