ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	16416477	16415804	16416676	672	872	11	99
2	16417155	16415771	16417351	1383	1580	10	100
3	16416714	16415844	16416914	869	1070	12	101
4	16416605	16415782	16416802	822	1020	20	118
5	16416676	16415824	16416876	851	1052	10	99
6	16416656	16415843	16416852	812	1009	12	100
7	16416659	16415810	16416861	848	1051	8	99
8	16416465	16415773	16416663	691	890	11	101
9	16416817	16415800	16417016	1016	1216	18	118
10	16441696	16415920	16441898	25775	25978	12	100
11	16416483	16415812	16416682	670	870	9	99
12	16416628	16415759	16416824	868	1065	10	99
13	16416605	16415802	16416799	802	997	13	102
14	16416846	16415816	16417035	1029	1219	19	118
15	16416464	16415790	16416666	673	876	11	99
16	16442950	16415964	16443149	26985	27185	11	99
17	16417209	16415810	16417404	1398	1594	12	100
18	16416454	16415757	16416652	696	895	10	99
19	16416683	16415808	16416880	874	1072	13	101
20	16416790	16415803	16416981	986	1178	20	119
21	16416671	16415813	16416873	857	1060	10	99
22	16416461	16415779	16416659	681	880	10	99
23	16417195	16415770	16417388	1424	1618	17	109
24	16416633	16415769	16416831	863	1062	12	101
25	16416606	16415765	16416801	840	1036	18	118
26	16416644	16415777	16416841	866	1064	11	99
27	16416557	16415771	16416756	785	985	11	100
28	16417196	16415809	16417397	1386	1588	11	100
29	16416714	16415842	16416910	871	1068	11	101
30	16416661	16415827	16416855	833	1028	19	118
31	16416653	16415794	16416851	858	1057	10	99
32	16416508	16415836	16416711	671	875	10	99
33	16416712	16415843	16416909	868	1066	10	99
34	16417359	16415855	16417557	1503	1702	12	101
35	16416651	16415820	16416847	830	1027	21	120
36	16416654	16415790	16416850	863	1060	11	99
37	16416507	16415825	16416708	681	883	10	99
38	16416657	16415794	16416853	862	1059	9	99
39	16416489	16415815	16416690	673	875	10	99
40	16416691	16415832	16416893	858	1061	12	101
41	16675429	16422105	16675616	253323	253511	14	101
42	16674949	16422202	16675124	252746	252922	15	101
43	16675858	16422204	16676035	253653	253831	16	102
44	16676026	16422098	16676193	253927	254095	17	103
45	16675048	16422224	16675214	252823	252990	26	121
46	16675285	16422079	16675453	253205	253374	16	101
47	16675411	16422097	16675577	253313	253480	17	101
48	16675105	16422136	16675277	252968	253141	14	101
49	16675801	16422169	16675974	253631	253805	16	103
50	16675954	16422237	16676117	253716	253880	25	121
51	16677670	16422120	16677839	255549	255719	16	102
52	16675315	16422178	16675484	253136	253306	17	101
53	16675535	16422170	16675699	253364	253529	17	102
54	16675681	16422124	16675854	253556	253730	16	103
55	16675068	16422168	16675240	252899	253072	24	120
56	16675532	16422126	16675699	253405	253573	15	101
57	16675436	16422153	16675604	253282	253451	15	101
58	16675268	16422210	16675440	253057	253230	16	102
59	16674777	16422161	16674941	252615	252780	17	103
60	16675382	16422144	16675551	253237	253407	25	120
61	16675801	16422219	16675966	253581	253747	17	102
62	16675419	16422140	16675588	253278	253448	14	101
63	16675213	16422167	16675389	253045	253222	15	101
64	16675341	16422125	16675508	253215	253383	16	102
65	16676370	16422103	16676533	254266	254430	24	122
66	16675222	16422133	16675387	253088	253254	14	101
67	16706688	16422342	16706849	284345	284507	16	102
68	16675361	16422163	16675526	253197	253363	15	101
69	16674995	16422171	16675169	252823	252998	14	101
70	16676155	16422125	16676314	254029	254189	26	123
71	16675342	16422150	16675518	253191	253368	17	101
72	16676346	16422137	16676518	254208	254381	15	102
73	16675302	16422182	16675479	253119	253297	14	101
74	16675304	16422154	16675475	253149	253321	16	101
75	16675325	16422075	16675654	253249	253579	17	103
76	16675019	16422222	16675198	252796	252976	23	120
77	16675577	16422179	16675742	253397	253563	15	102
78	16675596	16422138	16675763	253457	253625	15	101
79	16675463	16422233	16675626	253229	253393	15	102
80	16675189	16422153	16675362	253035	253209	16	103
81	16675516	16422136	16675689	253379	253553	22	120
82	16675077	16422216	16675241	252860	253025	14	101
83	16676470	16422135	16676630	254334	254495	19	103
84	16674762	16422209	16674932	252552	252723	15	101
85	16675513	16422163	16675677	253349	253514	17	103
86	16675561	16422150	16675732	253410	253582	23	120
87	16675006	16422161	16675177	252844	253016	16	101
88	16675368	16422148	16675534	253219	253386	14	101
89	16676191	16422131	16676361	254059	254230	16	103
90	16674981	16422257	16675157	252723	252900	17	103
91	16675523	16422150	16675683	253372	253533	23	120
92	16675006	16422157	16675182	252848	253025	14	101
93	16674902	16422117	16675087	252784	252970	14	101
94	16675671	16422190	16675837	253480	253647	15	101
95	16674786	16422213	16674939	252572	252726	15	101
96	16676377	16422188	16676545	254188	254357	27	124
97	16675829	16422187	16676000	253641	253813	14	101
98	16674417	16422154	16674588	252262	252434	15	101
99	16675543	16422152	16675724	253390	253572	16	101
100	16674853	16422138	16675022	252714	252884	14	101
101	16676085	16422181	16676257	253903	254076	27	122
