ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	4168820	4105541	4169017	63278	63476	11	97
2	4169452	4105493	4169647	63958	64154	14	99
3	4168622	4105537	4168815	63084	63278	10	97
4	4168288	4105548	4168490	62739	62942	11	97
5	4169110	4105545	4169305	63564	63760	14	99
6	4168733	4105523	4168925	63209	63402	8	97
7	4169067	4105555	4169260	63511	63705	9	97
8	4168458	4105552	4168649	62905	63097	11	99
9	4169074	4105532	4169265	63541	63733	13	98
10	4168663	4105515	4168861	63147	63346	12	97
11	4168946	4105549	4169146	63396	63597	10	97
12	4168816	4105514	4169010	63301	63496	13	99
13	4168652	4105518	4168856	63133	63338	11	97
14	4168671	4105487	4168868	63183	63381	12	99
15	4168950	4105525	4169145	63424	63620	11	98
16	4168327	4105535	4168523	62791	62988	13	98
17	4168469	4105475	4168665	62993	63190	11	97
18	4168698	4105495	4168892	63202	63397	8	97
19	4169660	4105557	4169852	64102	64294	13	99
20	4168244	4105530	4168445	62713	62915	10	97
21	4168559	4105540	4168754	63018	63214	10	98
22	4168729	4105534	4168926	63195	63392	11	98
23	4169350	4105525	4169541	63824	64016	13	98
24	4168239	4105530	4168430	62708	62900	11	97
25	4168457	4105499	4168647	62957	63148	9	97
26	4169330	4105535	4169524	63794	63989	14	99
27	4169010	4105508	4169202	63501	63694	11	97
28	4168303	4105545	4168498	62757	62953	11	97
29	4168659	4105523	4168850	63135	63327	13	99
30	4168949	4105536	4169141	63412	63605	10	98
31	4168926	4105497	4169268	63428	63771	10	97
32	4168351	4105532	4168547	62818	63015	11	97
33	4189482	4105612	4189679	83869	84067	15	99
34	4168627	4105500	4168819	63126	63319	10	97
35	4168969	4105519	4169163	63449	63644	11	99
36	4168403	4105507	4168599	62895	63092	12	98
37	4168651	4105530	4168850	63120	63320	11	98
38	4168762	4105537	4168959	63224	63422	10	97
39	4168935	4105524	4169135	63410	63611	9	97
40	4169017	4105556	4169210	63460	63654	12	99
41	4168325	4105524	4168521	62800	62997	10	97
42	4168545	4105498	4168740	63046	63242	10	97
43	4169105	4105517	4169304	63587	63787	11	98
44	4168969	4105542	4169162	63426	63620	10	98
45	4168372	4105554	4168567	62818	63013	9	97
46	4168724	4105521	4168920	63202	63399	12	98
47	4169596	4105505	4169790	64090	64285	12	98
48	4168597	4105518	4168788	63078	63270	9	97
49	4168245	4105476	4168440	62768	62964	10	97
50	4169387	4105523	4169581	63863	64058	15	100
51	4168939	4105481	4169139	63457	63658	10	97
52	4168427	4105552	4168624	62874	63072	10	97
53	4168455	4105535	4168651	62919	63116	10	98
54	4169185	4105538	4169378	63646	63840	13	98
55	4168805	4105504	4169002	63300	63498	10	99
56	4168950	4105561	4169143	63388	63582	9	97
57	4177537	4105581	4177835	71955	72254	11	99
58	4180618	4105574	4180812	75043	75238	12	98
59	4168724	4105468	4168918	63255	63450	11	97
60	4168932	4105507	4169127	63424	63620	13	98
61	4168647	4105542	4168840	63104	63298	12	98
62	4168530	4105527	4168726	63002	63199	8	97
63	4168741	4105479	4168938	63261	63459	10	97
64	4169492	4105533	4169683	63958	64150	13	99
65	4168297	4105524	4168496	62772	62972	11	97
66	4168747	4105522	4168940	63224	63418	10	97
67	4168890	4105481	4169084	63409	63603	11	98
68	4169169	4105538	4169363	63630	63825	12	98
69	4168160	4105537	4168357	62622	62820	10	97
70	4168482	4105518	4168674	62963	63156	10	97
71	4169422	4105529	4169617	63892	64088	16	100
72	4169046	4105523	4169240	63522	63717	11	97
73	4168313	4105526	4168509	62786	62983	11	97
74	4168574	4105533	4168769	63040	63236	10	98
75	4169011	4105529	4169205	63481	63676	11	98
76	4169016	4105507	4169211	63508	63704	12	99
