ITERNUM	METIME	PRTIME
1	4103970	4103962
2	4104251	4103971
3	4104698	4103960
4	4103976	4103969
5	4103971	4103965
6	4104097	4103973
7	4104498	4103968
8	4103974	4103957
9	4104099	4103975
10	4131129	4104124
11	4103973	4103969
12	4103971	4103961
13	4104086	4103964
14	4104487	4103960
15	4103978	4103972
16	4104094	4103968
17	4104713	4103987
18	4103979	4103973
19	4103981	4103979
20	4104111	4103984
21	4104498	4103969
22	4103984	4103977
23	4104264	4103981
24	4103975	4103967
25	4104715	4103983
26	4103976	4103963
27	4104097	4103975
28	4104500	4103971
29	4103968	4103963
30	4104096	4103973
31	4103969	4103964
32	4104695	4103959
33	4103973	4103968
34	4104090	4103967
35	4104494	4103966
36	4103956	4103949
37	4104818	4103971
38	4103962	4103958
39	4103979	4103974
40	4103976	4103963
