ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	16416477	16415804	16416676	672	872	11	99
2	16417155	16415771	16417351	1383	1580	10	100
3	16416714	16415844	16416914	869	1070	12	101
4	16416605	16415782	16416802	822	1020	20	118
5	16416676	16415824	16416876	851	1052	10	99
6	16416656	16415843	16416852	812	1009	12	100
7	16416659	16415810	16416861	848	1051	8	99
8	16416465	16415773	16416663	691	890	11	101
9	16416817	16415800	16417016	1016	1216	18	118
10	16441696	16415920	16441898	25775	25978	12	100
11	16416483	16415812	16416682	670	870	9	99
12	16416628	16415759	16416824	868	1065	10	99
13	16416605	16415802	16416799	802	997	13	102
14	16416846	16415816	16417035	1029	1219	19	118
15	16416464	16415790	16416666	673	876	11	99
16	16442950	16415964	16443149	26985	27185	11	99
17	16417209	16415810	16417404	1398	1594	12	100
18	16416454	16415757	16416652	696	895	10	99
19	16416683	16415808	16416880	874	1072	13	101
20	16416790	16415803	16416981	986	1178	20	119
21	16416671	16415813	16416873	857	1060	10	99
22	16416461	16415779	16416659	681	880	10	99
23	16417195	16415770	16417388	1424	1618	17	109
24	16416633	16415769	16416831	863	1062	12	101
25	16416606	16415765	16416801	840	1036	18	118
26	16416644	16415777	16416841	866	1064	11	99
27	16416557	16415771	16416756	785	985	11	100
28	16417196	16415809	16417397	1386	1588	11	100
29	16416714	16415842	16416910	871	1068	11	101
30	16416661	16415827	16416855	833	1028	19	118
31	16416653	16415794	16416851	858	1057	10	99
32	16416508	16415836	16416711	671	875	10	99
33	16416712	16415843	16416909	868	1066	10	99
34	16417359	16415855	16417557	1503	1702	12	101
35	16416651	16415820	16416847	830	1027	21	120
36	16416654	16415790	16416850	863	1060	11	99
37	16416507	16415825	16416708	681	883	10	99
38	16416657	16415794	16416853	862	1059	9	99
39	16416489	16415815	16416690	673	875	10	99
40	16416691	16415832	16416893	858	1061	12	101
