ITERNUM	OTHER_TOTAL_SECS	OTHER_PROCS
1	261	3
2	264	3
3	262	2
4	263	3
5	262	2
6	266	3
7	264	2
8	265	3
9	263	3
10	264	2
11	264	3
12	263	3
13	265	3
14	262	2
15	266	4
16	264	2
17	264	4
18	263	3
19	267	3
20	262	2
21	263	3
22	264	3
23	264	2
24	262	2
25	262	2
26	263	3
27	263	3
28	264	2
29	264	2
30	263	3
31	264	2
32	264	2
33	264	4
34	263	3
35	262	2
36	264	4
37	265	3
38	264	2
39	264	3
40	262	2
41	265	3
42	264	4
43	262	2
44	265	2
45	264	2
46	262	2
47	264	2
48	270	3
49	264	4
50	266	2
51	262	2
52	265	3
53	265	3
54	264	2
55	264	2
56	265	2
57	264	2
58	263	3
59	262	2
60	264	2
61	262	2
62	266	4
63	264	2
64	262	2
65	264	2
66	265	3
67	263	3
68	264	2
69	262	2
70	265	3
71	265	3
72	263	3
73	264	4
74	263	3
75	266	2
76	266	2
77	262	2
78	263	3
79	262	2
80	263	3
81	264	4
82	262	2
83	262	2
84	265	4
85	262	2
86	262	2
87	262	2
88	262	2
89	268	4
90	810	4
91	265	3
92	263	3
93	262	2
94	262	2
95	268	4
96	264	2
97	263	3
98	265	3
99	265	3
100	263	3
101	263	2
102	262	2
103	262	2
104	267	5
105	262	2
106	262	2
107	266	4
108	262	2
109	262	2
110	266	2
111	262	2
112	262	2
113	264	2
114	263	3
115	264	2
116	262	2
117	264	2
118	262	2
119	265	3
120	264	4
121	264	2
122	264	4
123	263	3
124	264	2
125	264	2
126	264	2
127	263	3
128	263	3
129	262	2
130	264	2
131	265	4
132	263	3
133	265	3
134	262	2
135	263	3
136	263	3
137	262	2
138	262	2
139	265	4
140	262	2
141	264	2
142	265	3
143	262	2
144	262	2
145	263	3
146	263	3
147	264	2
148	264	4
149	265	3
150	262	2
151	262	2
152	262	2
153	262	2
154	262	2
155	263	3
156	264	2
157	262	2
158	262	2
159	263	3
160	265	3
161	265	3
162	262	2
163	263	2
164	264	2
165	263	3
166	262	2
167	262	2
168	262	2
169	262	2
170	264	4
171	263	3
172	264	2
173	264	2
174	266	4
175	262	2
176	264	2
177	263	3
178	265	3
179	264	2
180	264	2
181	262	2
182	262	2
183	266	4
184	263	3
185	262	2
186	262	2
187	266	4
188	267	4
189	262	2
190	262	2
191	262	2
192	264	2
193	264	2
194	263	3
195	264	3
196	262	2
197	265	3
198	264	2
199	263	3
200	262	2
201	264	2
202	642	5
203	263	3
204	265	3
205	262	2
206	262	2
207	264	2
208	263	3
209	264	2
210	262	2
211	264	2
212	264	4
213	264	2
214	262	2
215	262	2
216	263	3
217	265	3
218	264	3
219	263	3
220	266	4
221	264	2
222	262	2
223	264	3
224	262	2
225	264	2
226	263	3
227	264	2
228	262	2
229	265	3
230	263	3
231	262	2
232	262	2
233	262	2
234	264	4
235	266	3
236	262	2
237	262	2
238	263	3
239	262	2
240	263	3
241	264	2
242	262	2
243	265	3
244	262	2
245	262	2
246	264	2
247	262	2
248	264	2
249	262	2
250	266	4
251	266	4
252	263	3
253	262	2
254	262	2
255	263	2
256	262	2
257	266	2
258	262	2
259	264	2
260	263	3
261	266	2
262	262	2
263	266	2
264	265	3
265	263	3
266	263	3
267	265	3
268	262	2
269	267	4
270	263	3
271	264	2
272	262	2
273	263	3
274	262	2
275	265	3
276	264	2
277	263	3
278	264	2
279	263	3
280	264	2
281	262	2
282	264	3
283	262	2
284	262	2
285	262	2
286	264	2
287	262	2
288	262	2
289	264	2
290	262	2
291	265	3
292	264	2
293	264	2
294	264	2
295	262	2
296	264	3
297	267	5
298	264	2
299	262	2
300	262	2
