WL	MIN_pt	MAX_pt	MED_pt	AVG_pt	SD_pt
1	999	1005	1002.0	1002.4	0.73
2	1996	2007	2005.0	2004.5	1.38
4	4004	4012	4009.0	4008.6	1.64
8	8014	8023	8018.0	8018.1	1.72
16	16029	16041	16035.0	16034.3	1.86
32	32064	32084	32068.0	32068.2	2.05
64	64129	64145	64135.0	64135.2	2.27
#128	128246	128263	128252.0	128251.9	2.81	
#256	256496	256513	256502.0	256502.9	2.98	
#512	512996	513026	513004.5	513005.9	5.66
#1024	1025998	1026037	1026012.0	1026013.3	9.33
128	128244	128260	128252.0	128251.1	2.32
256	256494	256523	256502.0	256501.8	3.29
512	512995	513152	513004.0	513004.6	9.41
1024 	1025997	1026141	1026011.0	1026011.5	11.43
2048	2051981	2052157	2052012.0	2052012.4	11.19
