ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	1051	1047	1054	4	-3	6	180
2	1046	1046	1048	0	-2	2	179
3	1045	1046	1047	-1	-2	2	181
4	1046	1046	1048	0	-2	2	180
5	1050	1048	1052	2	-2	3	180
6	1048	1047	1049	1	-1	3	180
7	1045	1045	1047	0	-2	2	179
8	1047	1045	1046	2	1	2	179
9	1046	1046	1048	0	-2	2	179
10	1064	1054	1065	10	-1	6	180
11	1059	1048	1060	11	-1	6	182
12	1046	1046	1047	0	-1	2	177
13	1047	1048	1049	-1	-2	2	178
14	1045	1045	1047	0	-2	2	177
15	1046	1045	1048	1	-2	3	178
16	1048	1047	1050	1	-2	3	177
17	1046	1045	1048	1	-2	4	177
18	1059	1051	1061	8	-2	5	179
19	1045	1045	1047	0	-2	2	177
20	1046	1046	1048	0	-2	2	179
21	1047	1045	1050	2	-3	5	179
22	1045	1045	1047	0	-2	2	177
23	1051	1047	1054	4	-3	4	178
24	1045	1045	1047	0	-2	2	177
25	1045	1045	1047	0	-2	3	178
26	1110	1068	1111	42	-1	7	181
27	1046	1046	1047	0	-1	2	179
28	1046	1045	1048	1	-2	3	179
29	1045	1045	1046	0	-1	2	180
30	1046	1047	1048	-1	-2	2	180
31	1056	1049	1058	7	-2	5	179
32	1048	1045	1050	3	-2	4	180
33	1046	1046	1048	0	-2	2	180
34	1047	1046	1048	1	-1	2	180
35	1046	1045	1047	1	-1	2	180
36	1048	1047	1050	1	-2	2	180
37	1047	1046	1050	1	-3	3	179
38	1048	1046	1050	2	-2	3	180
39	1049	1046	1051	3	-2	3	179
40	1046	1046	1048	0	-2	3	180
41	1045	1045	1046	0	-1	2	179
42	1060	1054	1060	6	0	3	179
43	1049	1047	1050	2	-1	3	179
44	1045	1045	1046	0	-1	2	178
45	1046	1045	1047	1	-1	3	178
46	1047	1047	1049	0	-2	2	177
47	1046	1046	1048	0	-2	2	178
48	1049	1047	1051	2	-2	4	178
49	1046	1044	1048	2	-2	4	178
50	1042	1043	1045	-1	-3	2	178
51	1044	1041	1043	3	1	2	178
52	1041	1041	1043	0	-2	2	178
53	1045	1044	1046	1	-1	3	178
54	1043	1043	1044	0	-1	2	177
55	1047	1043	1049	4	-2	4	178
56	1043	1043	1046	0	-3	3	177
57	1045	1045	1046	0	-1	2	177
58	1094	1056	1097	38	-3	6	181
59	1046	1045	1048	1	-2	2	179
60	1046	1045	1047	1	-1	2	181
61	1048	1044	1050	4	-2	5	180
62	1044	1044	1046	0	-2	2	179
63	1053	1048	1055	5	-2	4	179
64	1052	1048	1054	4	-2	6	179
65	1045	1045	1047	0	-2	2	179
66	1047	1045	1049	2	-2	4	179
67	1045	1045	1046	0	-1	2	180
68	1046	1046	1047	0	-1	2	179
69	1050	1049	1052	1	-2	3	179
70	1046	1044	1048	2	-2	4	180
71	1052	1046	1052	6	0	5	180
72	1046	1046	1047	0	-1	2	179
73	1045	1044	1046	1	-1	2	179
74	1070	1053	1071	17	-1	9	186
75	1048	1048	1050	0	-2	3	178
76	1048	1047	1050	1	-2	3	177
77	1046	1044	1046	2	0	3	178
78	1046	1045	1046	1	0	2	177
79	1047	1046	1048	1	-1	2	178
80	1045	1045	1048	0	-3	3	178
81	1048	1046	1050	2	-2	3	177
82	1048	1048	1050	0	-2	2	177
83	1048	1048	1050	0	-2	2	179
84	1046	1046	1048	0	-2	2	178
85	1048	1047	1050	1	-2	3	178
86	1047	1047	1049	0	-2	3	177
87	1050	1047	1053	3	-3	4	178
88	1047	1046	1049	1	-2	2	178
