ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	2277	2269	2279	8	-2	5	142
2	2267	2267	2268	0	-1	2	136
3	2266	2266	2267	0	-1	2	136
4	2267	2267	2269	0	-2	2	137
5	2424	2274	2426	150	-2	4	137
6	2267	2266	2267	1	0	2	136
7	2269	2268	2270	1	-1	3	136
8	2266	2266	2267	0	-1	2	137
9	2266	2266	2268	0	-2	2	136
10	2268	2266	2268	2	0	3	136
11	2267	2266	2267	1	0	2	136
12	2266	2266	2267	0	-1	2	136
13	2269	2268	2271	1	-2	3	136
14	2267	2267	2268	0	-1	2	137
15	2266	2266	2267	0	-1	2	136
16	2269	2268	2270	1	-1	3	136
17	2266	2266	2267	0	-1	2	136
18	2266	2266	2268	0	-2	3	136
19	2266	2266	2268	0	-2	2	136
20	2277	2270	2278	7	-1	4	142
21	2260	2260	2262	0	-2	3	136
22	2257	2257	2258	0	-1	2	136
23	2261	2260	2264	1	-3	4	138
24	2262	2262	2264	0	-2	3	136
25	2266	2266	2269	0	-3	3	136
26	2268	2267	2270	1	-2	3	136
27	2267	2267	2269	0	-2	3	136
28	2267	2267	2268	0	-1	2	137
29	2275	2269	2275	6	0	5	137
30	2266	2266	2268	0	-2	2	136
31	2265	2265	2268	0	-3	3	136
32	2269	2268	2271	1	-2	3	137
33	2266	2266	2268	0	-2	3	136
34	2266	2266	2267	0	-1	2	136
35	2267	2267	2269	0	-2	3	136
36	2265	2266	2267	-1	-2	2	136
37	2267	2267	2269	0	-2	2	137
38	2266	2266	2267	0	-1	2	137
39	2267	2267	2268	0	-1	2	136
40	2267	2267	2268	0	-1	2	136
41	2266	2266	2268	0	-2	3	136
42	2268	2267	2270	1	-2	3	136
43	2266	2266	2267	0	-1	2	136
44	2267	2267	2268	0	-1	2	137
45	2268	2267	2269	1	-1	3	136
46	2266	2266	2269	0	-3	3	136
47	2267	2267	2268	0	-1	2	137
48	2275	2269	2277	6	-2	5	136
49	2266	2266	2268	0	-2	2	136
50	2266	2266	2267	0	-1	2	136
51	2270	2269	2271	1	-1	3	136
52	2266	2266	2268	0	-2	3	136
53	2267	2267	2268	0	-1	2	136
54	2267	2267	2268	0	-1	2	136
55	2266	2266	2267	0	-1	2	136
56	2268	2267	2270	1	-2	4	137
57	2266	2266	2267	0	-1	2	136
58	2269	2268	2270	1	-1	3	136
59	2336	2267	2338	69	-2	4	136
60	2259	2258	2259	1	0	2	136
61	2259	2258	2260	1	-1	3	137
62	2257	2257	2259	0	-2	2	137
63	2265	2265	2266	0	-1	2	136
64	2268	2267	2269	1	-1	3	136
65	2266	2266	2268	0	-2	2	136
66	2266	2265	2266	1	0	2	136
67	2275	2268	2277	7	-2	6	136
68	2267	2267	2268	0	-1	2	137
69	2266	2266	2268	0	-2	2	136
70	2270	2268	2270	2	0	3	137
71	2266	2266	2267	0	-1	2	136
72	2267	2267	2269	0	-2	3	136
73	2266	2266	2267	0	-1	2	136
74	2267	2267	2268	0	-1	2	136
75	2268	2267	2269	1	-1	3	137
76	2267	2266	2267	1	0	2	137
77	2267	2267	2268	0	-1	2	136
78	2266	2266	2268	0	-2	2	136
79	2267	2267	2268	0	-1	2	136
80	2268	2267	2270	1	-2	4	136
81	2267	2267	2269	0	-2	2	136
82	2266	2266	2268	0	-2	2	136
