ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	1039	1039	1040	0	-1	2	146
2	1042	1041	1043	1	-1	3	147
3	1038	1038	1040	0	-2	3	147
4	1039	1039	1040	0	-1	2	146
5	1045	1039	1046	6	-1	4	146
6	1040	1040	1041	0	-1	2	147
7	1039	1039	1041	0	-2	2	147
8	1039	1039	1040	0	-1	2	146
9	1040	1040	1041	0	-1	2	146
10	1039	1039	1041	0	-2	3	147
11	1039	1039	1040	0	-1	2	147
12	1039	1038	1039	1	0	2	147
13	1039	1039	1041	0	-2	2	147
14	1039	1039	1041	0	-2	2	146
15	1040	1040	1041	0	-1	2	147
16	1040	1040	1041	0	-1	2	147
17	1039	1039	1040	0	-1	2	146
18	1040	1040	1041	0	-1	2	147
19	1041	1041	1043	0	-2	3	146
20	1039	1039	1041	0	-2	2	147
21	1039	1039	1040	0	-1	2	146
22	1038	1038	1039	0	-1	2	146
23	1038	1038	1040	0	-2	2	147
24	1038	1038	1039	0	-1	2	146
25	1039	1039	1040	0	-1	2	146
26	1040	1040	1041	0	-1	2	147
27	1040	1040	1041	0	-1	2	147
28	1039	1039	1040	0	-1	2	146
29	1039	1039	1040	0	-1	2	146
30	1039	1040	1041	-1	-2	2	146
31	1042	1040	1043	2	-1	3	146
32	1039	1038	1039	1	0	2	146
33	1040	1040	1041	0	-1	2	147
34	1040	1040	1041	0	-1	2	147
35	1039	1039	1040	0	-1	2	146
36	1040	1040	1041	0	-1	2	147
37	1042	1041	1043	1	-1	3	147
38	1043	1042	1044	1	-1	3	147
39	1039	1039	1040	0	-1	2	146
40	1046	1040	1047	6	-1	4	147
41	1039	1038	1039	1	0	2	146
42	1038	1038	1039	0	-1	2	146
43	1041	1040	1042	1	-1	3	147
44	1039	1039	1040	0	-1	2	146
45	1039	1039	1040	0	-1	2	147
46	1039	1039	1040	0	-1	2	147
47	1039	1039	1041	0	-2	3	147
48	1039	1039	1041	0	-2	2	146
49	1042	1040	1042	2	0	3	146
50	1039	1039	1041	0	-2	2	147
51	1040	1040	1041	0	-1	2	147
52	1040	1040	1041	0	-1	2	147
53	1040	1039	1040	1	0	2	146
54	1040	1040	1040	0	0	1	147
55	1042	1040	1042	2	0	3	147
56	1039	1039	1040	0	-1	2	146
57	1039	1039	1041	0	-2	2	147
58	1039	1039	1040	0	-1	2	146
59	1039	1039	1041	0	-2	2	147
60	1039	1039	1040	0	-1	2	146
61	1041	1040	1042	1	-1	3	147
