RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
17520	1	16043	16039	16240	4	201	5	93
17520	2	16019	16018	16216	1	198	4	93
17520	3	16040	16039	16236	1	197	3	93
17520	4	16042	16040	16240	2	200	4	93
17520	5	16043	16041	16239	2	198	4	93
17520	6	16017	16016	16215	1	199	3	93
17520	7	16042	16040	16240	2	200	4	93
17520	8	16041	16039	16238	2	199	3	93
17520	9	16041	16038	16238	3	200	4	93
17520	10	16041	16037	16238	4	201	5	93
17520	11	16019	16018	16216	1	198	4	93
17520	12	16043	16041	16239	2	198	4	93
17520	13	16042	16040	16240	2	200	4	93
17520	14	16040	16039	16238	1	199	3	93
17520	15	16019	16018	16216	1	198	4	93
17520	16	16043	16041	16239	2	198	4	93
17520	17	16040	16039	16236	1	197	3	93
17520	18	16042	16040	16240	2	200	4	93
17520	19	16036	16032	16232	4	200	6	93
17520	20	16029	16026	16226	3	200	4	93
17520	21	16043	16040	16238	3	198	4	93
17520	22	16040	16039	16236	1	197	3	93
17520	23	16043	16040	16242	3	202	4	93
17520	24	16020	16018	16218	2	200	4	93
17520	25	16042	16041	16239	1	198	4	93
17520	26	16042	16040	16240	2	200	4	93
17520	27	16042	16041	16239	1	198	4	93
17520	28	16027	16027	16224	0	197	3	93
17520	29	16034	16032	16231	2	199	5	93
17520	30	16042	16039	16240	3	201	5	93
17520	31	16041	16040	16237	1	197	3	93
17520	32	16042	16040	16240	2	200	4	93
17520	33	16019	16016	16216	3	200	4	93
17520	34	16041	16040	16240	1	200	4	93
17520	35	16043	16041	16239	2	198	4	93
17520	36	16042	16038	16239	4	201	5	93
17520	37	16020	16018	16218	2	200	4	93
17520	38	16043	16039	16242	4	203	5	93
17520	39	16041	16039	16239	2	200	4	93
17520	40	16042	16039	16239	3	200	4	93
17520	41	16042	16040	16238	2	198	4	93
17520	42	16017	16016	16213	1	197	3	93
17520	43	16043	16040	16240	3	200	4	93
17520	44	16042	16040	16240	2	200	4	93
17520	45	16040	16039	16238	1	199	3	93
17520	46	16019	16017	16215	2	198	4	93
17520	47	16041	16038	16238	3	200	4	93
17520	48	16040	16038	16239	2	201	5	93
17520	49	16042	16038	16241	4	203	5	93
17520	50	16039	16039	16236	0	197	3	93
17520	51	16022	16020	16220	2	200	4	93
17520	52	16042	16040	16240	2	200	4	93
17520	53	16042	16039	16239	3	200	4	93
17520	54	16043	16040	16240	3	200	4	93
17520	55	16019	16016	16214	3	198	4	93
17520	56	16040	16039	16236	1	197	3	93
17520	57	16043	16039	16240	4	201	5	93
17520	58	16042	16039	16240	3	201	5	93
17520	59	16041	16039	16236	2	197	3	93
17520	60	16017	16015	16215	2	200	4	93
17520	61	16040	16039	16238	1	199	3	93
17520	62	16042	16040	16240	2	200	4	93
17520	63	16043	16039	16239	4	200	5	93
17520	64	16041	16039	16238	2	199	3	93
17520	65	16019	16015	16216	4	201	5	93
17520	66	16042	16039	16240	3	201	5	93
17520	67	16040	16038	16238	2	200	4	93
17520	68	16042	16040	16238	2	198	4	93
17520	69	16043	16040	16240	3	200	4	93
17520	70	16014	16014	16211	0	197	3	93
17520	71	16042	16040	16238	2	198	4	93
17520	72	16040	16039	16240	1	201	3	93
17520	73	16040	16039	16236	1	197	3	93
17520	74	16043	16039	16240	4	201	5	93
17520	75	16016	16014	16212	2	198	4	93
17520	76	16042	16040	16240	2	200	4	93
17520	77	16043	16040	16239	3	199	4	93
17520	78	16040	16039	16236	1	197	3	93
17520	79	16042	16040	16238	2	198	4	93
17520	80	16018	16016	16214	2	198	4	93
17520	81	16040	16039	16238	1	199	3	93
17520	82	16043	16040	16240	3	200	4	93
17520	83	16042	16039	16238	3	199	5	93
17520	84	16033	16032	16230	1	198	4	93
