ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	2052013	2052009	2052241	4	232	5	108
2	2052027	2052016	2052252	10	236	6	109
3	2052007	2051996	2052235	11	239	6	108
4	2052020	2052011	2052248	8	237	5	108
5	2052029	2052019	2052257	10	238	6	109
6	2052568	2052016	2052794	551	778	6	109
7	2052012	2052007	2052241	5	234	5	108
8	2052021	2052011	2052252	9	241	8	109
9	2052018	2052016	2052247	2	231	5	108
10	2052022	2052020	2052250	1	230	4	108
11	2052015	2052006	2052245	9	239	9	109
12	2052019	2052013	2052246	5	233	7	108
13	2052406	2052015	2052632	391	617	8	109
14	2052019	2052011	2052246	7	235	6	109
15	2052011	2052009	2052238	2	229	4	108
16	2052003	2051996	2052231	6	235	7	108
17	2052027	2052016	2052257	11	241	9	109
18	2052020	2052009	2052246	10	237	5	108
19	2052017	2052015	2052245	2	230	4	108
20	2052580	2052020	2052805	559	785	8	110
21	2052015	2052009	2052243	6	234	5	108
22	2052014	2052010	2052241	4	231	6	108
23	2052014	2052004	2052241	9	237	6	109
24	2052004	2051998	2052232	6	234	5	108
25	2052010	2052004	2052237	5	233	6	108
26	2052012	2052004	2052242	8	238	6	109
27	2052400	2052013	2052626	386	613	7	109
28	2052029	2052019	2052256	10	237	7	109
29	2052011	2052007	2052238	3	231	5	108
30	2052009	2052001	2052236	8	235	6	108
31	2052013	2052002	2052239	10	237	6	109
32	2052030	2052016	2052257	14	241	7	110
33	2052019	2052009	2052248	9	239	6	108
34	2052587	2052016	2052815	571	799	10	110
35	2052015	2052007	2052241	7	234	5	108
36	2052021	2052018	2052250	3	232	5	108
37	2052021	2052010	2052249	10	239	6	109
38	2052006	2052002	2052234	4	232	5	108
39	2052015	2052009	2052242	5	233	4	108
40	2052017	2052010	2052245	7	235	5	109
41	2052408	2052023	2052634	384	611	7	109
42	2052006	2052002	2052236	4	234	5	108
43	2052025	2052017	2052251	7	234	5	109
44	2052015	2052013	2052244	2	231	4	108
45	2052014	2052008	2052242	6	234	6	108
46	2052016	2052009	2052244	6	235	5	109
47	2052010	2052006	2052237	4	231	5	108
48	2052565	2052013	2052792	551	779	8	109
49	2052019	2052009	2052249	10	240	6	109
50	2052021	2052013	2052248	7	235	6	108
51	2052009	2052005	2052236	4	231	5	108
52	2052015	2052006	2052244	8	238	7	109
53	2052010	2052006	2052238	4	232	6	108
54	2052011	2052004	2052239	6	235	5	108
55	2052406	2052014	2052632	392	618	8	110
56	2052021	2052015	2052250	5	235	6	108
57	2052011	2052006	2052239	5	233	7	108
58	2052018	2052010	2052245	7	235	7	109
59	2052016	2052010	2052245	6	235	5	108
60	2052008	2052002	2052238	5	236	6	108
61	2052023	2052018	2052251	5	233	6	109
62	2052569	2052005	2052793	563	788	8	109
63	2052007	2052001	2052237	6	236	5	108
64	2052016	2052006	2052245	9	239	5	109
65	2052008	2052001	2052237	7	236	5	108
66	2052019	2052007	2052247	11	240	6	109
67	2052023	2052020	2052251	3	231	4	108
68	2052014	2052014	2052243	0	229	4	108
69	2052395	2051992	2052620	402	628	9	110
70	2052014	2052010	2052242	4	232	4	108
71	2052018	2052010	2052245	7	235	6	108
72	2052016	2052005	2052243	11	238	5	109
73	2052016	2052001	2052241	14	240	7	110
74	2052020	2052013	2052248	7	235	6	108
75	2052028	2052020	2052257	7	237	6	109
76	2052584	2052025	2052809	559	784	6	109
77	2052022	2052017	2052251	4	234	5	108
78	2052025	2052018	2052255	7	237	6	109
79	2052022	2052019	2052250	2	231	4	108
80	2052021	2052016	2052250	5	234	4	108
81	2052025	2052014	2052254	10	240	6	109
82	2052413	2052021	2052638	392	617	6	109
83	2052018	2052012	2052244	5	232	5	108
84	2052027	2052019	2052255	8	236	5	109
85	2052020	2052018	2052247	1	229	4	108
86	2052014	2052003	2052243	11	240	7	108
87	2052027	2052018	2052254	8	236	7	109
88	2052011	2052004	2052241	7	237	5	108
89	2052571	2052010	2052796	561	786	7	109
90	2052027	2052016	2052254	10	238	7	109
91	2052014	2052014	2052244	0	230	3	108
92	2052018	2052009	2052245	8	236	7	108
93	2052029	2052022	2052257	7	235	5	109
94	2052028	2052019	2052255	8	236	6	108
95	2052011	2052009	2052240	2	231	4	108
96	2052414	2052020	2052640	393	620	9	110
