ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
41	8207985	8207971	8208188	13	217	7	96
42	8208046	8208033	8208249	12	216	7	96
43	8208041	8208021	8208244	19	223	8	96
44	8207998	8207982	8208199	15	217	6	96
45	8208025	8207987	8208223	37	236	11	107
46	8208031	8208015	8208233	15	218	8	96
47	8208092	8208024	8208293	67	269	16	114
48	8208024	8208013	8208225	10	212	6	96
49	8208026	8208016	8208227	9	211	7	96
50	8208038	8208009	8208240	28	231	9	96
51	8208033	8208017	8208232	15	215	6	96
52	8207984	8207970	8208187	13	217	5	96
53	8208021	8207995	8208224	25	229	7	96
54	8208036	8208017	8208238	18	221	8	96
55	8207979	8207960	8208182	18	222	7	96
56	8208054	8208022	8208257	31	235	11	107
57	8208079	8208018	8208280	60	262	14	114
58	8208007	8207994	8208211	12	217	8	96
59	8208025	8208015	8208230	9	215	7	96
60	8208040	8208021	8208239	18	218	8	96
61	8208037	8208020	8208240	16	220	7	96
62	8207998	8207975	8208204	22	229	9	96
63	8207999	8207976	8208202	22	226	8	96
64	8208041	8208022	8208239	18	217	5	96
65	8207983	8207966	8208182	16	216	8	96
66	8208068	8208030	8208270	37	240	12	107
67	8208041	8208018	8208241	22	223	7	96
68	8208053	8207996	8208256	56	260	17	114
69	8208029	8208014	8208232	14	218	7	96
70	8208008	8207997	8208210	10	213	7	96
71	8208003	8207986	8208206	16	220	6	96
72	8208044	8208024	8208246	19	222	7	96
73	8208025	8208010	8208228	14	218	8	96
74	8208019	8207999	8208220	19	221	8	96
75	8208044	8208033	8208247	10	214	7	96
76	8207996	8207980	8208201	15	221	6	96
77	8208063	8208030	8208263	32	233	12	107
78	8208090	8208026	8208287	63	261	15	114
79	8207991	8207966	8208195	24	229	8	96
80	8208020	8208008	8208223	11	215	5	96
