#WL	v1	v2	v3	v4	v5	v6
1	0.003432122	0.002300067	0.001455797	0.000847965	0.000648379	0.000419078
2	0.002989	0.002083734	0.001226723	0.000633543	0.000374102	0.000319202
4	0.002367288	0.001809824	0.00126884	0.000379185	0.000379185	0.000399152
8	0.001846227	0.001282915	0.000964403	0.000225739	0.000219503	0.000193313
16	?	?	?	0.000116001	0.000103527	0.000102904
32	?	?	?	6.01844E-05	4.55285E-05	5.20775E-05
64	?	?	?	3.50821E-05	3.02486E-05	2.27644E-05
128	?	?	?	1.80895E-05	1.65301E-05	1.72318E-05
256	?	?	?	1.28264E-05	9.98044E-06	9.78555E-06
512	?	?	?	1.83429E-05	6.25726E-06	5.82842E-06
1024	?	?	?	1.11402E-05	4.49313E-06	4.36643E-06
2048	?	?	?	5.45318E-06	3.4454E-06	3.20174E-06
#3072	?	?	?	?		?		3.56519e-06
#4096	?	?	?	6.32806E-06	5.38786E-06	4.67175E-06
4096	?	?	?	6.33329E-06	2.00000E-06	2.00000E-06
8192	?	?	?	?		?		2.00000E-06
16384	?	?	?	?		?		1.00000E-06
