ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	2052502	2052272	2052698	230	426	6	92
2	2052512	2052278	2052710	234	432	10	92
3	2052500	2052273	2052695	227	422	7	92
4	2052511	2052281	2052707	230	426	9	92
5	2052505	2052275	2052700	230	425	8	92
6	2052502	2052268	2052699	234	431	8	92
7	2052499	2052263	2052695	236	432	6	92
8	2052503	2052267	2052703	236	436	9	92
9	2052489	2052265	2052684	224	419	7	92
10	2052512	2052272	2052709	240	437	10	94
11	2052496	2052267	2052689	229	422	8	92
12	2052512	2052282	2052710	230	428	9	92
13	2052494	2052268	2052693	226	425	8	92
14	2052505	2052275	2052701	230	426	7	92
15	2052513	2052280	2052709	233	429	6	92
16	2052579	2052308	2052776	271	468	15	110
17	2052504	2052274	2052698	230	424	7	92
18	2052500	2052268	2052698	232	430	10	92
19	2052514	2052285	2052712	229	427	8	92
20	2052498	2052265	2052695	233	430	7	92
21	2052517	2052290	2052713	227	423	7	92
22	2052520	2052289	2052717	231	428	7	92
23	2052504	2052266	2052703	238	437	7	92
24	2052510	2052274	2052707	236	433	7	92
25	2052497	2052270	2052694	227	424	7	92
26	2052516	2052274	2052713	242	439	7	92
27	2052507	2052275	2052702	232	427	8	92
28	2052502	2052270	2052697	232	427	7	92
29	2052503	2052271	2052698	232	427	7	92
30	2052511	2052278	2052710	233	432	6	92
31	2052512	2052285	2052709	227	424	8	92
32	2052500	2052256	2052695	244	439	6	92
33	2052501	2052269	2052698	232	429	7	92
34	2052510	2052276	2052706	234	430	7	92
35	2052501	2052272	2052697	229	425	8	92
36	2052505	2052268	2052704	237	436	8	92
37	2052513	2052282	2052710	231	428	7	92
38	2052507	2052277	2052702	230	425	7	92
39	2052482	2052247	2052679	235	432	9	92
40	2052491	2052260	2052688	231	428	7	92
41	2052494	2052267	2052694	227	427	8	92
42	2052497	2052260	2052696	237	436	7	92
43	2052496	2052268	2052693	228	425	6	92
44	2052498	2052262	2052694	236	432	8	92
45	2052511	2052281	2052710	230	429	6	92
46	2052511	2052278	2052708	233	430	9	92
47	2052500	2052273	2052694	227	421	8	92
48	2052504	2052273	2052698	231	425	7	92
49	2052507	2052275	2052704	232	429	7	92
50	2052507	2052276	2052703	231	427	8	92
51	2052508	2052279	2052705	229	426	6	92
52	2052511	2052271	2052708	240	437	10	94
53	2052512	2052277	2052705	235	428	7	92
54	2052512	2052275	2052708	237	433	8	92
55	2052507	2052273	2052704	234	431	7	92
56	2052513	2052279	2052709	234	430	8	92
57	2052501	2052271	2052699	230	428	8	92
58	2052570	2052298	2052768	272	470	14	110
59	2052509	2052276	2052705	233	429	6	92
60	2052506	2052274	2052706	232	432	8	92
61	2052501	2052268	2052697	233	429	7	92
62	2052509	2052280	2052706	229	426	9	92
63	2052518	2052286	2052713	232	427	9	92
64	2052505	2052274	2052700	231	426	7	92
65	2052496	2052265	2052691	231	426	6	92
66	2052505	2052272	2052699	233	427	8	92
67	2052508	2052272	2052703	236	431	9	92
68	2052503	2052268	2052700	235	432	9	92
69	2052500	2052259	2052695	241	436	8	92
70	2052514	2052285	2052712	229	427	8	92
71	2052510	2052274	2052705	236	431	10	92
72	2052502	2052274	2052701	228	427	7	92
73	2052507	2052266	2052701	241	435	8	92
74	2052508	2052278	2052708	230	430	7	92
75	2052520	2052287	2052715	233	428	7	92
76	2052498	2052266	2052696	232	430	7	92
77	2052501	2052265	2052698	236	433	7	92
78	2052509	2052278	2052703	231	425	9	92
79	2052500	2052267	2052701	233	434	7	92
80	2052484	2052251	2052682	233	431	9	92
81	2052481	2052251	2052676	230	425	7	92
82	2052511	2052276	2052707	235	431	7	92
83	2052495	2052270	2052690	225	420	7	92
84	2052502	2052273	2052697	229	424	6	92
85	2052494	2052264	2052693	230	429	7	92
86	2052519	2052286	2052716	233	430	7	92
87	2052497	2052268	2052692	229	424	7	92
88	2052499	2052265	2052696	234	431	8	92
89	2052515	2052283	2052711	232	428	7	92
90	2052496	2052264	2052692	232	428	9	92
91	2052493	2052262	2052691	231	429	9	92
92	2052504	2052265	2052699	239	434	9	92
93	2052506	2052271	2052704	235	433	8	92
94	2052524	2052283	2052718	241	435	10	94
95	2052495	2052271	2052692	224	421	7	92
96	2052500	2052265	2052699	235	434	9	92
97	2052504	2052273	2052699	231	426	8	92
98	2052505	2052269	2052702	236	433	7	92
99	2052504	2052272	2052698	232	426	7	92
100	2052571	2052300	2052768	271	468	13	110
101	2052525	2052294	2052722	231	428	7	92
102	2052493	2052255	2052692	238	437	8	92
103	2052506	2052276	2052702	230	426	7	92
104	2052520	2052290	2052717	230	427	7	92
105	2052505	2052275	2052702	230	427	7	92
106	2052499	2052269	2052698	230	429	7	92
107	2052513	2052281	2052711	232	430	8	92
108	2052520	2052280	2052717	240	437	8	92
109	2052491	2052264	2052685	227	421	8	92
110	2052490	2052262	2052687	228	425	8	92
111	2052493	2052266	2052689	227	423	8	92
112	2052520	2052287	2052719	233	432	8	92
113	2052499	2052268	2052694	231	426	7	92
114	2052505	2052275	2052701	230	426	8	92
115	2052517	2052278	2052716	239	438	9	92
116	2052495	2052264	2052692	231	428	8	92
117	2052507	2052275	2052704	232	429	7	92
118	2052497	2052265	2052697	232	432	8	92
119	2052515	2052280	2052710	235	430	8	92
120	2052501	2052274	2052699	227	425	6	92
121	2052493	2052261	2052687	232	426	8	92
122	2052496	2052264	2052691	232	427	8	92
123	2052508	2052278	2052704	230	426	7	92
124	2052515	2052280	2052712	235	432	6	92
125	2052510	2052275	2052707	235	432	8	92
126	2052521	2052287	2052718	234	431	7	92
127	2052503	2052266	2052698	237	432	9	92
128	2052496	2052260	2052693	236	433	7	92
129	2052506	2052276	2052699	230	423	7	92
130	2052509	2052276	2052705	233	429	8	92
131	2052503	2052272	2052698	231	426	8	92
132	2052497	2052266	2052696	231	430	7	92
133	2052508	2052278	2052705	230	427	8	92
134	2052511	2052277	2052708	234	431	6	92
135	2052497	2052263	2052697	234	434	7	92
136	2052504	2052268	2052701	236	433	8	92
137	2052531	2052288	2052728	243	440	12	94
138	2052500	2052268	2052695	232	427	6	92
139	2052491	2052257	2052686	234	429	8	92
140	2052498	2052263	2052694	235	431	7	92
141	2052515	2052281	2052708	234	427	7	92
142	2052561	2052281	2052757	280	476	15	110
143	2052504	2052280	2052702	224	422	8	92
144	2052496	2052267	2052693	229	426	7	92
145	2052501	2052267	2052698	234	431	6	92
146	2052494	2052269	2052691	225	422	8	92
147	2052508	2052269	2052704	239	435	7	92
148	2052497	2052267	2052693	230	426	8	92
149	2052496	2052266	2052695	230	429	7	92
150	2052508	2052271	2052705	237	434	6	92
151	2052507	2052276	2052705	231	429	8	92
152	2052512	2052282	2052711	230	429	7	92
153	2052498	2052261	2052695	237	434	8	92
154	2052503	2052270	2052700	233	430	9	92
155	2052486	2052256	2052685	230	429	6	92
156	2052505	2052280	2052702	225	422	6	92
157	2052501	2052266	2052697	235	431	7	92
158	2052502	2052271	2052697	231	426	6	92
159	2052509	2052277	2052704	232	427	8	92
160	2052492	2052260	2052686	232	426	7	92
161	2052494	2052265	2052694	229	429	6	92
162	2052484	2052246	2052680	238	434	9	92
163	2052513	2052279	2052706	234	427	7	92
164	2052495	2052263	2052692	232	429	6	92
165	2052495	2052265	2052691	230	426	9	92
166	2052500	2052259	2052695	241	436	7	92
167	2052512	2052275	2052708	237	433	9	92
168	2052497	2052270	2052689	227	419	6	92
169	2052500	2052266	2052697	234	431	8	92
170	2052508	2052273	2052703	235	430	7	92
171	2052496	2052268	2052693	228	425	7	92
172	2052512	2052274	2052710	238	436	8	92
173	2052503	2052270	2052697	233	427	6	92
174	2052519	2052282	2052714	237	432	9	92
175	2052499	2052268	2052693	231	425	7	92
176	2052488	2052257	2052682	231	425	8	92
177	2052503	2052269	2052702	234	433	7	92
178	2052519	2052285	2052717	234	432	9	92
179	2052514	2052274	2052710	240	436	10	94
180	2052507	2052271	2052705	236	434	7	93
181	2052510	2052273	2052708	237	435	8	92
182	2052507	2052279	2052704	228	425	8	92
183	2052499	2052266	2052695	233	429	8	92
184	2052573	2052301	2052770	272	469	15	110
185	2052505	2052275	2052702	230	427	6	92
186	2052496	2052262	2052692	234	430	8	92
187	2052502	2052271	2052699	231	428	7	92
188	2052513	2052273	2052710	240	437	9	92
189	2052506	2052269	2052701	237	432	9	92
190	2052513	2052279	2052710	234	431	11	92
191	2052505	2052271	2052705	234	434	9	92
192	2052498	2052270	2052693	228	423	9	92
193	2052507	2052279	2052706	228	427	7	92
194	2052503	2052269	2052699	234	430	7	92
195	2052497	2052264	2052693	233	429	9	92
196	2052501	2052269	2052697	232	428	7	92
197	2052510	2052278	2052707	232	429	8	92
198	2052502	2052262	2052697	240	435	7	92
199	2052508	2052278	2052705	230	427	7	92
200	2052506	2052276	2052701	230	425	9	92
201	2052511	2052278	2052709	233	431	8	92
202	2052501	2052268	2052698	233	430	6	92
203	2052500	2052270	2052695	230	425	7	92
204	2052510	2052282	2052708	228	426	7	92
205	2052497	2052263	2052693	234	430	8	92
206	2052495	2052258	2052693	237	435	8	92
207	2052484	2052248	2052683	236	435	7	92
