RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
17280	1	1003	1004	1200	-1	196	2	94
17280	2	1005	1003	1202	2	199	3	93
17280	3	1003	1003	1199	0	196	2	93
17280	4	1003	1003	1199	0	196	2	93
17280	5	1003	1003	1201	0	198	2	93
17280	6	1003	1003	1199	0	196	2	93
17280	7	1003	1002	1202	1	200	2	93
17280	8	1002	1003	1199	-1	196	2	93
17280	9	1005	1003	1204	2	201	3	93
17280	10	1003	1003	1199	0	196	2	93
17280	11	1002	1003	1199	-1	196	2	93
17280	12	1003	1003	1199	0	196	2	93
17280	13	1002	1003	1199	-1	196	2	93
17280	14	999	999	1195	0	196	2	93
17280	15	1002	1003	1199	-1	196	2	93
17280	16	1003	1003	1199	0	196	2	93
17280	17	1003	1002	1200	1	198	2	93
17280	18	1003	1003	1201	0	198	2	93
17280	19	1003	1002	1200	1	198	2	93
17280	20	1003	1002	1200	1	198	2	93
17280	21	1003	1002	1202	1	200	2	93
17280	22	1003	1003	1199	0	196	2	93
17280	23	1003	1003	1199	0	196	2	93
17280	24	1005	1004	1203	1	199	3	93
17280	25	1003	1002	1198	1	196	2	93
17280	26	1003	1002	1200	1	198	2	93
17280	27	1002	1003	1199	-1	196	2	93
17280	28	1000	999	1197	1	198	2	93
17280	29	1002	1001	1199	1	198	2	93
17280	30	1003	1003	1199	0	196	2	93
17280	31	1005	1004	1201	1	197	3	93
17280	32	1003	1003	1199	0	196	2	93
17280	33	1003	1002	1200	1	198	2	93
17280	34	1003	1002	1202	1	200	2	93
17280	35	1002	1003	1199	-1	196	2	93
17280	36	1003	1002	1202	1	200	2	93
17280	37	1003	1003	1201	0	198	2	93
17280	38	1003	1003	1199	0	196	2	93
17280	39	1004	1004	1201	0	197	3	93
17280	40	1003	1003	1199	0	196	2	93
17280	41	1003	1002	1200	1	198	2	93
17280	42	1001	1002	1198	-1	196	2	93
17280	43	999	999	1197	0	198	2	93
17280	44	1003	1002	1202	1	200	2	93
17280	45	1002	1003	1199	-1	196	2	93
17280	46	1005	1004	1201	1	197	3	93
17280	47	1003	1003	1199	0	196	2	93
17280	48	1003	1002	1202	1	200	2	93
17280	49	1002	1003	1201	-1	198	2	93
17280	50	1003	1003	1199	0	196	2	93
17280	51	1002	1003	1199	-1	196	2	93
17280	52	1003	1002	1200	1	198	2	93
17280	53	1003	1003	1199	0	196	2	93
17280	54	1003	1003	1201	0	198	2	93
17280	55	1003	1003	1201	0	198	2	93
17280	56	1003	1003	1201	0	198	2	93
17280	57	999	999	1197	0	198	2	93
17280	58	1003	1002	1200	1	198	2	93
17280	59	1003	1003	1199	0	196	2	93
17280	60	1002	1003	1199	-1	196	2	93
17280	61	1005	1003	1204	2	201	3	93
17280	62	1002	1003	1200	-1	197	2	93
17280	63	1002	1003	1199	-1	196	2	93
17280	64	1003	1003	1199	0	196	2	93
17280	65	1003	1003	1199	0	196	2	93
17280	66	1002	1003	1201	-1	198	2	93
17280	67	1003	1002	1198	1	196	2	93
17280	68	1003	1003	1201	0	198	2	93
17280	69	1002	1003	1200	-1	197	2	93
17280	70	1003	1003	1199	0	196	2	93
17280	71	1000	999	1197	1	198	2	93
17280	72	1002	1001	1197	1	196	2	93
17280	73	1002	1003	1199	-1	196	2	93
17280	74	1003	1003	1201	0	198	2	93
17280	75	1003	1002	1200	1	198	2	93
17280	76	1004	1004	1201	0	197	3	93
17280	77	1003	1003	1199	0	196	2	93
17280	78	1003	1003	1199	0	196	2	93
17280	79	1003	1002	1200	1	198	2	93
17280	80	1002	1003	1201	-1	198	2	93
17280	81	1002	1003	1201	-1	198	2	93
17280	82	1003	1003	1199	0	196	2	93
17280	83	1005	1004	1201	1	197	3	93
17280	84	1002	1003	1201	-1	198	2	93
17280	85	1002	1001	1199	1	198	2	93
17280	86	999	999	1195	0	196	2	93
17280	87	1002	1003	1199	-1	196	2	93
17280	88	1003	1003	1199	0	196	2	93
17280	89	1003	1002	1200	1	198	2	93
17280	90	1003	1003	1201	0	198	2	93
17280	91	1002	1003	1199	-1	196	2	93
17280	92	1003	1003	1199	0	196	2	93
17280	93	1003	1003	1201	0	198	2	93
17280	94	1003	1003	1199	0	196	2	93
17280	95	1003	1002	1198	1	196	2	93
17280	96	1003	1003	1199	0	196	2	93
17280	97	1003	1003	1201	0	198	2	93
17280	98	1005	1004	1203	1	199	3	93
17280	99	1002	1003	1199	-1	196	2	93
17280	100	999	999	1195	0	196	2	93
17280	101	1003	1003	1199	0	196	2	93
17280	102	1002	1003	1199	-1	196	2	93
17280	103	1003	1002	1200	1	198	2	93
17280	104	1003	1003	1199	0	196	2	93
17280	105	1005	1004	1201	1	197	3	93
17280	106	1002	1003	1201	-1	198	2	93
17280	107	1003	1003	1201	0	198	2	93
17280	108	1003	1002	1202	1	200	2	93
17280	109	1003	1002	1200	1	198	2	93
17280	110	1003	1003	1199	0	196	2	93
17280	111	1003	1003	1199	0	196	2	93
17280	112	1002	1003	1201	-1	198	2	93
17280	113	1004	1004	1201	0	197	3	93
17280	114	999	998	1196	1	198	2	93
17280	115	1002	1003	1199	-1	196	2	93
17280	116	1003	1002	1200	1	198	2	93
17280	117	1003	1002	1200	1	198	2	93
17280	118	1002	1003	1199	-1	196	2	93
17280	119	1003	1002	1200	1	198	2	93
17280	120	1005	1003	1202	2	199	3	93
17280	121	1003	1002	1200	1	198	2	93
17280	122	1003	1003	1201	0	198	2	93
17280	123	1003	1003	1199	0	196	2	93
17280	124	1002	1003	1199	-1	196	2	93
17280	125	1003	1002	1200	1	198	2	93
17280	126	1002	1003	1201	-1	198	2	93
17280	127	1002	1003	1199	-1	196	2	93
17280	128	1003	1002	1201	1	199	3	93
17280	129	999	1000	1196	-1	196	2	93
17280	130	1003	1003	1201	0	198	2	93
17280	131	1003	1002	1200	1	198	2	93
17280	132	1003	1003	1199	0	196	2	93
17280	133	1003	1003	1201	0	198	2	93
17280	134	1003	1002	1200	1	198	2	93
17280	135	1004	1004	1202	0	198	3	93
17280	136	1003	1002	1200	1	198	2	93
17280	137	1002	1003	1199	-1	196	2	93
17280	138	1002	1003	1201	-1	198	2	93
17280	139	1002	1003	1199	-1	196	2	93
17280	140	1003	1002	1200	1	198	2	93
17280	141	1002	1003	1201	-1	198	2	93
17280	142	1003	1003	1199	0	196	2	93
17280	143	999	999	1197	0	198	2	93
17280	144	1002	1003	1200	-1	197	2	93
17280	145	1003	1003	1199	0	196	2	93
17280	146	1003	1002	1200	1	198	2	93
17280	147	1003	1003	1199	0	196	2	93
17280	148	1003	1003	1201	0	198	2	93
17280	149	1003	1003	1199	0	196	2	93
17280	150	1004	1004	1203	0	199	3	93
17280	151	1003	1002	1200	1	198	2	93
17280	152	1003	1002	1200	1	198	2	93
17280	153	1002	1003	1199	-1	196	2	93
17280	154	1003	1002	1200	1	198	2	93
17280	155	1003	1003	1201	0	198	2	93
17280	156	1003	1003	1201	0	198	2	93
17280	157	1001	1000	1199	1	199	3	93
17280	158	1002	1002	1198	0	196	2	93
17280	159	1003	1002	1198	1	196	2	93
17280	160	1002	1003	1201	-1	198	2	93
17280	161	1002	1003	1201	-1	198	2	93
17280	162	1002	1003	1199	-1	196	2	93
17280	163	1003	1002	1202	1	200	2	93
17280	164	1003	1002	1200	1	198	2	93
17280	165	1004	1004	1203	0	199	3	93
17280	166	1003	1003	1199	0	196	2	93
17280	167	1003	1003	1201	0	198	2	93
17280	168	1003	1002	1198	1	196	2	93
17280	169	1003	1002	1201	1	199	2	93
17280	170	1003	1003	1199	0	196	2	93
17280	171	1002	1001	1197	1	196	2	93
17280	172	1001	1000	1197	1	197	3	93
17280	173	1003	1003	1199	0	196	2	93
17280	174	1003	1003	1201	0	198	2	93
17280	175	1003	1002	1202	1	200	2	93
17280	176	1003	1003	1201	0	198	2	93
17280	177	1003	1002	1200	1	198	2	93
17280	178	1003	1002	1200	1	198	2	93
17280	179	1003	1002	1198	1	196	2	93
17280	180	1005	1004	1203	1	199	3	93
17280	181	1002	1003	1199	-1	196	2	93
17280	182	1003	1003	1199	0	196	2	93
17280	183	1002	1003	1201	-1	198	2	93
17280	184	1003	1004	1200	-1	196	2	93
17280	185	1003	1003	1199	0	196	2	93
17280	186	999	999	1197	0	198	2	93
17280	187	1005	1004	1201	1	197	3	93
17280	188	1003	1003	1199	0	196	2	93
17280	189	1002	1003	1199	-1	196	2	93
17280	190	1003	1002	1200	1	198	2	93
17280	191	1003	1004	1200	-1	196	2	93
17280	192	1003	1002	1201	1	199	2	93
17280	193	1003	1002	1200	1	198	2	93
17280	194	1003	1003	1199	0	196	2	93
17280	195	1005	1003	1202	2	199	3	93
17280	196	1002	1003	1199	-1	196	2	93
17280	197	1002	1003	1199	-1	196	2	93
17280	198	1002	1003	1199	-1	196	2	93
17280	199	1003	1002	1200	1	198	2	93
17280	200	1001	1000	1198	1	198	2	93
17280	201	1000	1001	1197	-1	196	2	93
17280	202	1005	1003	1202	2	199	3	93
17280	203	1003	1002	1200	1	198	2	93
17280	204	1003	1003	1199	0	196	2	93
17280	205	1003	1002	1200	1	198	2	93
17280	206	1002	1003	1201	-1	198	2	93
17280	207	1003	1003	1199	0	196	2	93
17280	208	1003	1002	1201	1	199	2	93
17280	209	1002	1003	1203	-1	200	2	93
17280	210	1003	1003	1199	0	196	2	93
17280	211	1003	1003	1201	0	198	2	93
17280	212	1003	1002	1200	1	198	2	93
17280	213	1003	1003	1199	0	196	2	93
17280	214	1001	1001	1199	0	198	2	93
17280	215	1000	1000	1196	0	196	2	93
17280	216	1003	1002	1200	1	198	2	93
17280	217	1005	1003	1204	2	201	3	93
17280	218	1002	1003	1199	-1	196	2	93
17280	219	1003	1002	1200	1	198	2	93
17280	220	1002	1003	1199	-1	196	2	93
17280	221	1002	1003	1200	-1	197	2	93
17280	222	1002	1003	1199	-1	196	2	93
17280	223	1003	1002	1200	1	198	2	93
17280	224	1005	1003	1202	2	199	3	93
17280	225	1003	1003	1201	0	198	2	93
17280	226	1003	1003	1199	0	196	2	93
17280	227	1003	1003	1199	0	196	2	93
17280	228	1003	1003	1199	0	196	2	93
17280	229	999	998	1196	1	198	2	93
17280	230	1002	1003	1200	-1	197	2	93
17280	231	1003	1002	1200	1	198	2	93
17280	232	1003	1003	1199	0	196	2	93
17280	233	1003	1003	1199	0	196	2	93
17280	234	1003	1003	1199	0	196	2	93
17280	235	1002	1003	1201	-1	198	2	93
17280	236	1003	1002	1198	1	196	2	93
17280	237	1002	1003	1199	-1	196	2	93
17280	238	1002	1003	1199	-1	196	2	93
17280	239	1004	1004	1201	0	197	3	93
17280	240	1002	1003	1201	-1	198	2	93
17280	241	1002	1003	1199	-1	196	2	93
17280	242	1003	1002	1200	1	198	2	93
17280	243	999	999	1197	0	198	2	93
17280	244	1002	1003	1199	-1	196	2	93
17280	245	1002	1003	1201	-1	198	2	93
17280	246	1005	1003	1202	2	199	3	93
17280	247	1003	1003	1201	0	198	2	93
17280	248	1003	1002	1200	1	198	2	93
17280	249	1002	1003	1199	-1	196	2	93
17280	250	1002	1003	1199	-1	196	2	93
17280	251	1003	1003	1201	0	198	2	93
17280	252	1003	1003	1199	0	196	2	93
17280	253	1003	1003	1199	0	196	2	93
17280	254	1003	1002	1203	1	201	3	93
17280	255	1002	1003	1199	-1	196	2	93
17280	256	1003	1002	1200	1	198	2	93
17280	257	999	999	1197	0	198	2	93
17280	258	1002	1002	1198	0	196	2	93
17280	259	1003	1003	1201	0	198	2	93
17280	260	1003	1003	1199	0	196	2	93
17280	261	1004	1004	1203	0	199	3	93
17280	262	1003	1003	1199	0	196	2	93
17280	263	1003	1003	1199	0	196	2	93
17280	264	1003	1003	1199	0	196	2	93
17280	265	1003	1002	1198	1	196	2	93
17280	266	1002	1003	1201	-1	198	2	93
17280	267	1003	1003	1199	0	196	2	93
17280	268	1005	1004	1201	1	197	3	93
17280	269	1003	1003	1199	0	196	2	93
17280	270	1003	1003	1201	0	198	2	93
17280	271	1001	1001	1199	0	198	2	93
17280	272	1000	1000	1196	0	196	2	93
17280	273	1003	1002	1200	1	198	2	93
17280	274	1002	1003	1199	-1	196	2	93
17280	275	1003	1002	1201	1	199	2	93
17280	276	1004	1004	1201	0	197	3	93
17280	277	1003	1003	1201	0	198	2	93
17280	278	1003	1002	1202	1	200	2	93
17280	279	1002	1003	1199	-1	196	2	93
17280	280	1003	1002	1200	1	198	2	93
17280	281	1003	1002	1201	1	199	2	93
17280	282	1003	1003	1199	0	196	2	93
17280	283	1005	1003	1202	2	199	3	93
17280	284	1002	1003	1199	-1	196	2	93
17280	285	1002	1002	1198	0	196	2	93
17280	286	998	999	1197	-1	198	2	93
17280	287	1003	1003	1199	0	196	2	93
17280	288	1003	1003	1199	0	196	2	93
17280	289	1003	1002	1200	1	198	2	93
17280	290	1003	1002	1202	1	200	2	93
17280	291	1002	1003	1199	-1	196	2	93
17280	292	1002	1003	1199	-1	196	2	93
17280	293	1002	1003	1201	-1	198	2	93
17280	294	1003	1003	1199	0	196	2	93
17280	295	1002	1003	1199	-1	196	2	93
17280	296	1002	1003	1199	-1	196	2	93
17280	297	1002	1003	1199	-1	196	2	93
17280	298	1005	1004	1203	1	199	3	93
17280	299	1002	1003	1199	-1	196	2	93
17280	300	999	999	1195	0	196	2	93
