ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	8207929	8207916	25387998	12	17180081	8	97
2	8208578	8207916	25388644	661	17180727	9	99
3	8208777	8207925	25388844	851	17180918	10	99
4	8207926	8207912	25387996	13	17180083	6	97
5	8208585	8207918	25388653	666	17180734	11	99
6	8207940	8207923	25388009	16	17180085	9	99
7	8208929	8207930	25388992	998	17181061	21	118
8	8207919	8207907	25387988	11	17180080	7	97
9	8208597	8207940	25388666	656	17180725	10	99
10	8208761	8207919	25388826	841	17180906	8	99
11	8207903	8207888	25387972	14	17180083	6	97
12	8208592	8207932	25388657	659	17180724	9	99
13	8207935	8207918	25388008	16	17180089	6	97
14	8208810	8207967	25388877	842	17180909	10	99
15	8208498	8207954	25388561	543	17180606	7	98
16	8208057	8207921	25388126	135	17180204	9	100
17	8208890	8207884	25388956	1005	17181071	18	118
18	8208455	8207910	25388520	544	17180609	8	98
19	8208053	8207918	25388121	134	17180202	8	98
20	8208678	8207942	25388743	735	17180800	8	98
21	8208010	8207870	25388076	139	17180205	9	99
22	8208428	8207889	25388497	538	17180607	9	98
23	8208060	8207924	25388129	135	17180204	8	98
24	8208770	8207928	25388838	841	17180909	9	99
25	8208467	8207920	25388537	546	17180616	7	98
26	8208021	8207891	25388093	129	17180201	8	98
27	8208671	8207938	25388739	732	17180800	10	100
28	8208219	8207941	25388285	277	17180343	17	117
29	8208460	8207918	25388528	541	17180609	9	98
30	8208013	8207877	25388081	135	17180203	8	98
31	8208744	8207907	25388812	836	17180904	9	99
32	8208473	8207927	25388544	545	17180616	8	98
33	8208050	8207918	25388116	131	17180197	7	98
34	8208663	8207927	25388729	735	17180801	10	98
35	8208062	8207932	25388129	129	17180196	7	98
36	8208478	8207892	25388542	585	17180649	9	98
37	8208031	8207894	25388099	136	17180204	10	100
38	8208848	8207955	25388913	892	17180957	19	117
39	8208590	8207926	25388658	663	17180731	9	99
40	8208051	8207920	25388118	130	17180197	6	98
