#Benchmark	size	STD_ET	RE_ET	STD_PT	RE_PT
400	40	27.3	0.059348	2.1	0.004719
401	40	5608.7	0.010435	1161.4	0.002197
403	40	158.8	0.006087	152.1	0.005929
410	40	62.9	0.007939	20.8	0.002667
416	40	1026.8	0.001011	980.8	0.000981
429	40	622.8	0.002641	599.6	0.002582
433	40	880.4	0.001831	866.8	0.001831
434	40	75.1	0.004553	9.1	0.00056
435	40	1007.1	0.001017	1016.8	0.001042
436	40	4104.4	0.003535	3993.9	0.003493
437	40	1581	0.002719	1566.7	0.002736
444	40	554	0.000937	542.4	0.000931
445	40	146.5	0.001735	41.1	0.000494
447	40	189.8	0.000364	124.7	0.000243
450	40	144.8	0.000425	95.7	0.000285
453	40	976.1	0.003769	946.7	0.003718
454	40	5014.6	0.002911	660.6	0.00039
456	40	135.2	0.000329	76.6	0.000189
458	40	578.5	0.000981	546.9	0.000942
459	40	2143.2	0.002683	2131.6	0.002709
462	40	4339	0.007293	4272.7	0.007293
464	40	895.7	0.001378	863.3	0.001349
465	40	5148.8	0.005743	864.8	0.00098
470	40	706.2	0.002018	689.5	0.002001
471	40	6176	0.016862	6079.8	0.016857
473	40	743	0.002049	729.1	0.002041
481	40	NA	NA	NA	NA
482	40	4351.1	0.006663	4281.1	0.006658
483	40	NA	NA	NA	NA
998	40	0.7	0.005469	0.7	0.005512
999	40	23.9	0.181061	0.9	0.007087
