ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	127	127	334	0	207	3	99
2	128	127	334	1	207	3	99
3	128	126	333	2	207	3	99
4	127	126	335	1	209	3	99
5	129	128	337	1	209	3	99
6	128	126	333	2	207	3	99
7	131	130	337	1	207	3	99
8	128	127	334	1	207	3	99
9	128	127	332	1	205	3	99
10	128	127	334	1	207	3	99
11	128	127	333	1	206	3	99
12	128	127	332	1	205	3	99
13	128	127	334	1	207	3	99
14	128	128	333	0	205	3	99
15	128	127	333	1	206	3	99
16	127	126	335	1	209	3	99
17	279	129	485	150	356	4	99
18	128	127	332	1	205	3	99
19	128	127	332	1	205	3	99
20	128	126	334	2	208	3	99
21	127	126	335	1	209	3	99
22	127	127	334	0	207	3	99
23	127	127	333	0	206	2	99
24	129	128	333	1	205	3	99
25	128	126	333	2	207	3	99
26	130	129	334	1	205	3	99
27	129	128	333	1	205	3	99
28	128	128	332	0	204	2	99
29	128	127	338	1	211	3	99
30	128	127	334	1	207	3	99
31	128	127	336	1	209	3	99
32	128	127	336	1	209	3	99
33	128	127	334	1	207	3	99
34	127	127	334	0	207	3	99
35	128	126	335	2	209	3	99
36	128	127	332	1	205	3	99
37	128	127	334	1	207	3	99
38	128	127	331	1	204	2	99
39	127	127	334	0	207	3	99
40	128	126	332	2	206	3	99
